Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
05.01.2020;16:00;1.062;-;1.066;0;265;0;0
05.01.2020;17:00;1.062;-;1.067;0;268;0;0
05.01.2020;18:00;1.058;-;1.058;0;267;0;0
05.01.2020;19:00;1.064;-;986;0;269;0;0
05.01.2020;20:00;1.065;-;968;0;268;0;0
05.01.2020;21:00;1.064;-;971;0;269;0;0
05.01.2020;22:00;1.060;-;962;0;272;0;0
05.01.2020;23:00;1.027;-;969;0;266;0;0
06.01.2020;00:00;1.012;-;964;0;188;0;0
06.01.2020;01:00;967;-;968;0;159;0;0
06.01.2020;02:00;968;-;968;0;157;0;0
06.01.2020;03:00;970;-;969;0;156;0;0
06.01.2020;04:00;1.051;-;968;0;156;0;0
06.01.2020;05:00;1.061;-;969;0;236;0;0
06.01.2020;06:00;1.061;-;970;0;252;0;0
06.01.2020;07:00;1.057;-;1.055;0;265;0;0
06.01.2020;08:00;1.060;-;1.065;0;267;0;0
06.01.2020;09:00;1.062;-;1.069;0;265;0;0
06.01.2020;10:00;1.064;-;1.077;0;265;0;0
06.01.2020;11:00;1.065;-;1.073;0;266;0;0
06.01.2020;12:00;1.066;-;1.075;0;266;0;0
06.01.2020;13:00;1.064;-;1.073;0;267;0;0
06.01.2020;14:00;1.064;-;1.073;0;266;0;0
06.01.2020;15:00;1.061;-;1.070;0;265;0;0
06.01.2020;16:00;1.064;-;1.072;0;264;0;0
06.01.2020;17:00;1.066;-;1.072;0;272;0;0
06.01.2020;18:00;1.065;-;1.072;0;271;0;0
06.01.2020;19:00;1.064;-;1.069;0;272;0;0
06.01.2020;20:00;1.062;-;1.069;0;264;0;0
06.01.2020;21:00;1.064;-;1.066;0;214;0;0
06.01.2020;22:00;1.065;-;1.070;0;228;0;0
06.01.2020;23:00;1.065;-;1.070;0;162;0;0
07.01.2020;00:00;1.064;-;1.066;0;160;0;0
07.01.2020;01:00;1.061;-;1.070;0;160;0;0
07.01.2020;02:00;1.061;-;1.070;0;161;0;0
07.01.2020;03:00;1.061;-;1.069;0;161;0;0
07.01.2020;04:00;1.062;-;1.068;0;168;0;0
07.01.2020;05:00;1.061;-;1.068;0;254;0;0
