Datum;Uhrzeit;Generation_DE Walsum 10[MW];Generation_DE Walsum 9[MW];Generation_DE Walsum 7[MW]
07.01.2020;17:00;705;300;-
07.01.2020;18:00;703;241;-
07.01.2020;19:00;648;146;-
07.01.2020;20:00;537;85;-
07.01.2020;21:00;287;80;-
07.01.2020;22:00;203;82;-
07.01.2020;23:00;211;81;-
08.01.2020;00:00;200;82;-
08.01.2020;01:00;191;81;-
08.01.2020;02:00;180;81;-
08.01.2020;03:00;183;80;-
08.01.2020;04:00;192;81;-
08.01.2020;05:00;198;81;-
08.01.2020;06:00;295;85;-
08.01.2020;07:00;620;122;-
08.01.2020;08:00;708;105;-
08.01.2020;09:00;706;125;-
08.01.2020;10:00;702;175;-
08.01.2020;11:00;705;251;-
08.01.2020;12:00;707;252;-
08.01.2020;13:00;705;274;-
08.01.2020;14:00;708;301;-
08.01.2020;15:00;711;301;-
08.01.2020;16:00;715;309;-
08.01.2020;17:00;710;309;-
08.01.2020;18:00;710;300;-
08.01.2020;19:00;691;270;-
08.01.2020;20:00;706;300;-
08.01.2020;21:00;710;301;-
08.01.2020;22:00;707;185;-
08.01.2020;23:00;695;90;-
09.01.2020;00:00;694;83;-
09.01.2020;01:00;617;82;-
09.01.2020;02:00;499;82;-
09.01.2020;03:00;352;82;-
09.01.2020;04:00;295;83;-
09.01.2020;05:00;326;81;-
09.01.2020;06:00;644;81;-
09.01.2020;07:00;703;83;-
09.01.2020;08:00;707;142;-
09.01.2020;09:00;701;212;-
09.01.2020;10:00;709;211;-
09.01.2020;11:00;695;210;-
09.01.2020;12:00;457;210;-
09.01.2020;13:00;307;211;-
09.01.2020;14:00;295;211;-
09.01.2020;15:00;309;230;-
09.01.2020;16:00;621;280;-
09.01.2020;17:00;652;268;-
09.01.2020;18:00;646;336;-
09.01.2020;19:00;644;334;-
09.01.2020;20:00;426;246;-
09.01.2020;21:00;3;134;-
09.01.2020;22:00;0;98;-
09.01.2020;23:00;0;71;-
10.01.2020;00:00;0;82;-
10.01.2020;01:00;0;83;-
10.01.2020;02:00;0;82;-
10.01.2020;03:00;0;83;-
10.01.2020;04:00;0;86;-
10.01.2020;05:00;0;109;-
10.01.2020;06:00;0;141;-
10.01.2020;07:00;0;168;-
10.01.2020;08:00;0;239;-
10.01.2020;09:00;0;297;-
10.01.2020;10:00;0;263;-
10.01.2020;11:00;0;253;-
10.01.2020;12:00;0;184;-
10.01.2020;13:00;0;179;-
10.01.2020;14:00;0;181;-
10.01.2020;15:00;0;180;-
10.01.2020;16:00;0;182;-
10.01.2020;17:00;0;180;-
10.01.2020;18:00;0;181;-
10.01.2020;19:00;0;131;-
10.01.2020;20:00;0;98;-
10.01.2020;21:00;0;87;-
10.01.2020;22:00;0;84;-
10.01.2020;23:00;0;63;-
11.01.2020;00:00;0;108;-
11.01.2020;01:00;0;84;-
11.01.2020;02:00;0;83;-
11.01.2020;03:00;0;80;-
11.01.2020;04:00;0;82;-
11.01.2020;05:00;0;80;-
11.01.2020;06:00;0;82;-
11.01.2020;07:00;0;81;-
11.01.2020;08:00;0;82;-
11.01.2020;09:00;0;81;-
11.01.2020;10:00;0;81;-
11.01.2020;11:00;0;81;-
11.01.2020;12:00;0;81;-
11.01.2020;13:00;0;82;-
11.01.2020;14:00;0;84;-
11.01.2020;15:00;0;81;-
11.01.2020;16:00;0;81;-
11.01.2020;17:00;0;82;-
11.01.2020;18:00;0;83;-
11.01.2020;19:00;0;82;-
11.01.2020;20:00;0;83;-
11.01.2020;21:00;0;86;-
11.01.2020;22:00;0;98;-
11.01.2020;23:00;0;89;-
12.01.2020;00:00;0;80;-
12.01.2020;01:00;0;85;-
12.01.2020;02:00;0;86;-
12.01.2020;03:00;0;80;-
12.01.2020;04:00;0;79;-
12.01.2020;05:00;0;81;-
12.01.2020;06:00;0;79;-
12.01.2020;07:00;0;80;-
12.01.2020;08:00;0;82;-
12.01.2020;09:00;0;80;-
12.01.2020;10:00;0;80;-
12.01.2020;11:00;0;83;-
12.01.2020;12:00;0;82;-
12.01.2020;13:00;0;81;-
12.01.2020;14:00;0;81;-
12.01.2020;15:00;0;86;-
12.01.2020;16:00;0;90;-
12.01.2020;17:00;0;92;-
12.01.2020;18:00;0;93;-
12.01.2020;19:00;0;93;-
12.01.2020;20:00;0;113;-
12.01.2020;21:00;0;113;-
12.01.2020;22:00;0;115;-
12.01.2020;23:00;0;128;-
13.01.2020;00:00;0;126;-
13.01.2020;01:00;0;170;-
13.01.2020;02:00;0;137;-
13.01.2020;03:00;33;115;-
13.01.2020;04:00;235;122;-
13.01.2020;05:00;310;162;-
13.01.2020;06:00;446;211;-
13.01.2020;07:00;695;298;-
13.01.2020;08:00;714;300;-
13.01.2020;09:00;703;315;-
13.01.2020;10:00;671;320;-
13.01.2020;11:00;539;301;-
13.01.2020;12:00;542;320;-
13.01.2020;13:00;544;321;-
13.01.2020;14:00;546;283;-
13.01.2020;15:00;652;286;-
13.01.2020;16:00;706;284;-
13.01.2020;17:00;709;242;-
13.01.2020;18:00;711;195;-
13.01.2020;19:00;608;180;-
13.01.2020;20:00;272;160;-
13.01.2020;21:00;0;159;-
13.01.2020;22:00;0;208;-
13.01.2020;23:00;0;209;-
14.01.2020;00:00;0;112;-
14.01.2020;01:00;0;82;-
14.01.2020;02:00;0;84;-
14.01.2020;03:00;0;82;-
14.01.2020;04:00;0;82;-
14.01.2020;05:00;0;81;-
14.01.2020;06:00;0;82;-
14.01.2020;07:00;0;82;-
14.01.2020;08:00;0;88;-
14.01.2020;09:00;0;113;-
14.01.2020;10:00;0;86;-
14.01.2020;11:00;0;83;-
14.01.2020;12:00;0;81;-
14.01.2020;13:00;0;81;-
14.01.2020;14:00;0;87;-
14.01.2020;15:00;0;84;-
14.01.2020;16:00;0;80;-
14.01.2020;17:00;0;78;-
14.01.2020;18:00;0;80;-
14.01.2020;19:00;0;90;-
14.01.2020;20:00;0;83;-
14.01.2020;21:00;0;102;-
14.01.2020;22:00;0;112;-
14.01.2020;23:00;0;105;-
15.01.2020;00:00;0;86;-
15.01.2020;01:00;0;84;-
15.01.2020;02:00;0;81;-
15.01.2020;03:00;0;81;-
15.01.2020;04:00;0;82;-
15.01.2020;05:00;0;80;-
15.01.2020;06:00;0;81;-
15.01.2020;07:00;0;82;-
15.01.2020;08:00;0;118;-
15.01.2020;09:00;0;127;-
15.01.2020;10:00;0;124;-
15.01.2020;11:00;0;111;-
15.01.2020;12:00;0;109;-
15.01.2020;13:00;0;110;-
15.01.2020;14:00;0;112;-
15.01.2020;15:00;0;117;-
15.01.2020;16:00;104;126;-
15.01.2020;17:00;291;148;-
15.01.2020;18:00;308;158;-
15.01.2020;19:00;307;129;-
15.01.2020;20:00;304;81;-
15.01.2020;21:00;303;78;-
15.01.2020;22:00;302;80;-
15.01.2020;23:00;302;81;-
16.01.2020;00:00;290;78;-
16.01.2020;01:00;289;79;-
16.01.2020;02:00;290;79;-
16.01.2020;03:00;290;79;-
16.01.2020;04:00;291;79;-
16.01.2020;05:00;316;81;-
16.01.2020;06:00;451;120;-
16.01.2020;07:00;655;160;-
16.01.2020;08:00;708;240;-
16.01.2020;09:00;705;304;-
16.01.2020;10:00;702;295;-
16.01.2020;11:00;707;255;-
16.01.2020;12:00;684;166;-
16.01.2020;13:00;530;157;-
16.01.2020;14:00;623;192;-
16.01.2020;15:00;662;241;-
16.01.2020;16:00;668;241;-
16.01.2020;17:00;663;241;-
16.01.2020;18:00;704;222;-
16.01.2020;19:00;709;149;-
16.01.2020;20:00;532;93;-
16.01.2020;21:00;274;79;-
16.01.2020;22:00;190;82;-
16.01.2020;23:00;197;78;-
17.01.2020;00:00;184;77;-
17.01.2020;01:00;184;80;-
17.01.2020;02:00;181;79;-
17.01.2020;03:00;179;81;-
17.01.2020;04:00;182;79;-
17.01.2020;05:00;187;79;-
17.01.2020;06:00;246;105;-
17.01.2020;07:00;564;130;-
17.01.2020;08:00;715;111;-
17.01.2020;09:00;691;84;-
17.01.2020;10:00;653;81;-
17.01.2020;11:00;643;86;-
17.01.2020;12:00;688;98;-
17.01.2020;13:00;661;81;-
17.01.2020;14:00;688;82;-
17.01.2020;15:00;705;85;-
17.01.2020;16:00;710;148;-
17.01.2020;17:00;703;184;-
17.01.2020;18:00;703;194;-
17.01.2020;19:00;646;147;-
17.01.2020;20:00;537;88;-
17.01.2020;21:00;397;81;-
17.01.2020;22:00;289;82;-
17.01.2020;23:00;315;81;-
18.01.2020;00:00;522;83;-
18.01.2020;01:00;536;89;-
18.01.2020;02:00;350;80;-
18.01.2020;03:00;330;79;-
18.01.2020;04:00;72;80;-
18.01.2020;05:00;0;79;-
18.01.2020;06:00;0;81;-
18.01.2020;07:00;0;82;-
18.01.2020;08:00;0;82;-
18.01.2020;09:00;0;87;-
18.01.2020;10:00;0;110;-
18.01.2020;11:00;0;85;-
18.01.2020;12:00;0;81;-
18.01.2020;13:00;0;90;-
18.01.2020;14:00;0;101;-
18.01.2020;15:00;0;111;-
18.01.2020;16:00;0;88;-
18.01.2020;17:00;0;114;-
18.01.2020;18:00;0;190;-
18.01.2020;19:00;0;155;-
18.01.2020;20:00;0;102;-
18.01.2020;21:00;0;82;-
18.01.2020;22:00;0;82;-
18.01.2020;23:00;0;81;-
19.01.2020;00:00;0;81;-
19.01.2020;01:00;0;82;-
19.01.2020;02:00;0;82;-
