Datum;Uhrzeit;Generation_DE G[MW];Generation_DE H[MW];Generation_DE D[MW];Generation_DE E[MW];Generation_DE C[MW];Generation_DE B[MW];Generation_DE F[MW];Generation_DE K[MW];Generation_DE A[MW]
05.01.2020;10:00;0;0;0;-;283;-;-;923;-
05.01.2020;11:00;0;0;0;-;280;-;-;929;-
05.01.2020;12:00;0;0;0;-;248;-;-;922;-
05.01.2020;13:00;0;0;0;-;200;-;-;925;-
05.01.2020;14:00;0;0;0;-;266;-;-;928;-
05.01.2020;15:00;0;0;0;-;279;-;-;925;-
05.01.2020;16:00;0;0;0;-;283;-;-;926;-
05.01.2020;17:00;0;0;0;-;285;-;-;924;-
05.01.2020;18:00;0;0;0;-;283;-;-;931;-
05.01.2020;19:00;0;0;0;-;284;-;-;927;-
05.01.2020;20:00;0;0;0;-;284;-;-;929;-
05.01.2020;21:00;0;0;0;-;285;-;-;925;-
05.01.2020;22:00;0;0;0;-;285;-;-;920;-
05.01.2020;23:00;0;0;0;-;284;-;-;909;-
06.01.2020;00:00;0;0;0;-;252;-;-;907;-
06.01.2020;01:00;0;0;0;-;160;-;-;926;-
06.01.2020;02:00;0;0;0;-;149;-;-;933;-
06.01.2020;03:00;0;0;0;-;150;-;-;919;-
06.01.2020;04:00;0;0;0;-;150;-;-;925;-
06.01.2020;05:00;0;0;0;-;201;-;-;925;-
06.01.2020;06:00;0;0;0;-;272;-;-;923;-
06.01.2020;07:00;0;0;0;-;270;-;-;924;-
06.01.2020;08:00;0;0;0;-;285;-;-;923;-
06.01.2020;09:00;0;0;0;-;284;-;-;927;-
06.01.2020;10:00;0;0;0;-;284;-;-;926;-
06.01.2020;11:00;0;0;0;-;285;-;-;925;-
06.01.2020;12:00;0;0;0;-;284;-;-;927;-
06.01.2020;13:00;0;0;0;-;284;-;-;926;-
06.01.2020;14:00;0;0;0;-;284;-;-;930;-
06.01.2020;15:00;0;0;0;-;276;-;-;920;-
06.01.2020;16:00;0;0;0;-;269;-;-;914;-
06.01.2020;17:00;0;0;0;-;274;-;-;912;-
06.01.2020;18:00;0;0;0;-;274;-;-;909;-
06.01.2020;19:00;0;0;0;-;274;-;-;914;-
06.01.2020;20:00;0;0;0;-;273;-;-;909;-
06.01.2020;21:00;0;0;0;-;229;-;-;914;-
06.01.2020;22:00;0;0;0;-;222;-;-;911;-
06.01.2020;23:00;0;0;0;-;189;-;-;912;-
07.01.2020;00:00;0;0;0;-;189;-;-;914;-
07.01.2020;01:00;0;0;0;-;190;-;-;913;-
07.01.2020;02:00;0;0;0;-;190;-;-;913;-
07.01.2020;03:00;0;0;0;-;190;-;-;916;-
07.01.2020;04:00;15;0;0;-;191;-;-;910;-
07.01.2020;05:00;221;0;0;-;214;-;-;910;-
07.01.2020;06:00;407;0;0;-;273;-;-;914;-
07.01.2020;07:00;575;0;0;-;272;-;-;913;-
07.01.2020;08:00;587;0;0;-;274;-;-;915;-
07.01.2020;09:00;611;0;0;-;274;-;-;914;-
07.01.2020;10:00;614;0;0;-;274;-;-;914;-
07.01.2020;11:00;634;0;0;-;273;-;-;918;-
07.01.2020;12:00;614;0;0;-;271;-;-;918;-
07.01.2020;13:00;611;0;0;-;273;-;-;924;-
07.01.2020;14:00;618;0;0;-;274;-;-;934;-
07.01.2020;15:00;612;0;0;-;274;-;-;931;-
07.01.2020;16:00;610;0;0;-;274;-;-;936;-
07.01.2020;17:00;615;0;0;-;273;-;-;938;-
07.01.2020;18:00;615;0;0;-;275;-;-;926;-
07.01.2020;19:00;615;0;0;-;274;-;-;934;-
07.01.2020;20:00;617;0;0;-;261;-;-;933;-
07.01.2020;21:00;520;0;0;-;226;-;-;932;-
07.01.2020;22:00;353;0;0;-;187;-;-;936;-
07.01.2020;23:00;317;0;0;-;159;-;-;881;-
08.01.2020;00:00;302;0;0;-;153;-;-;497;-
08.01.2020;01:00;302;0;0;-;153;-;-;362;-
08.01.2020;02:00;304;0;0;-;153;-;-;368;-
08.01.2020;03:00;299;0;0;-;153;-;-;371;-
08.01.2020;04:00;304;0;0;-;154;-;-;521;-
08.01.2020;05:00;326;0;0;-;159;-;-;839;-
08.01.2020;06:00;421;0;0;-;169;-;-;917;-
08.01.2020;07:00;602;0;0;-;255;-;-;938;-
08.01.2020;08:00;546;0;0;-;277;-;-;926;-
08.01.2020;09:00;566;0;0;-;275;-;-;931;-
08.01.2020;10:00;614;0;0;-;274;-;-;935;-
08.01.2020;11:00;616;0;0;-;274;-;-;931;-
08.01.2020;12:00;614;0;0;-;274;-;-;920;-
08.01.2020;13:00;610;0;0;-;273;-;-;920;-
08.01.2020;14:00;614;0;0;-;273;-;-;937;-
08.01.2020;15:00;612;0;0;-;274;-;-;941;-
08.01.2020;16:00;612;0;0;-;274;-;-;936;-
08.01.2020;17:00;614;0;0;-;274;-;-;940;-
08.01.2020;18:00;623;0;0;-;275;-;-;940;-
08.01.2020;19:00;623;0;0;-;274;-;-;945;-
08.01.2020;20:00;558;0;0;-;273;-;-;936;-
08.01.2020;21:00;602;0;0;-;274;-;-;919;-
08.01.2020;22:00;613;0;0;-;275;-;-;921;-
08.01.2020;23:00;616;0;0;-;275;-;-;918;-
09.01.2020;00:00;613;0;0;-;274;-;-;918;-
09.01.2020;01:00;608;0;0;-;274;-;-;920;-
09.01.2020;02:00;612;0;0;-;274;-;-;916;-
09.01.2020;03:00;523;0;0;-;223;-;-;914;-
09.01.2020;04:00;491;0;0;-;152;-;-;915;-
09.01.2020;05:00;606;0;0;-;200;-;-;920;-
09.01.2020;06:00;617;0;0;-;269;-;-;922;-
09.01.2020;07:00;576;0;0;-;267;-;-;936;-
09.01.2020;08:00;619;0;0;-;266;-;-;936;-
09.01.2020;09:00;619;0;0;-;267;-;-;939;-
09.01.2020;10:00;618;0;0;-;267;-;-;917;-
09.01.2020;11:00;615;0;0;-;266;-;-;921;-
09.01.2020;12:00;403;0;0;-;202;-;-;921;-
09.01.2020;13:00;304;0;0;-;153;-;-;918;-
09.01.2020;14:00;303;0;0;-;231;-;-;919;-
09.01.2020;15:00;325;0;0;-;268;-;-;918;-
09.01.2020;16:00;580;0;0;-;267;-;-;916;-
09.01.2020;17:00;616;0;0;-;267;-;-;920;-
09.01.2020;18:00;620;0;0;-;267;-;-;924;-
09.01.2020;19:00;613;0;0;-;266;-;-;923;-
09.01.2020;20:00;459;0;0;-;210;-;-;918;-
09.01.2020;21:00;292;0;0;-;151;-;-;901;-
09.01.2020;22:00;298;0;0;-;152;-;-;917;-
09.01.2020;23:00;304;0;0;-;151;-;-;914;-
10.01.2020;00:00;286;0;0;-;152;-;-;916;-
