Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
07.01.2020;00:00;0;0;424;491
07.01.2020;01:00;0;0;432;502
07.01.2020;02:00;0;0;419;498
07.01.2020;03:00;0;0;419;489
07.01.2020;04:00;0;0;419;491
07.01.2020;05:00;0;0;450;501
07.01.2020;06:00;0;0;454;499
07.01.2020;07:00;0;0;457;499
07.01.2020;08:00;0;0;455;499
07.01.2020;09:00;0;0;458;500
07.01.2020;10:00;0;0;458;501
07.01.2020;11:00;0;0;462;499
07.01.2020;12:00;0;0;462;476
07.01.2020;13:00;0;0;464;492
07.01.2020;14:00;0;0;458;500
07.01.2020;15:00;0;0;452;499
07.01.2020;16:00;0;0;453;501
07.01.2020;17:00;0;0;453;501
07.01.2020;18:00;0;0;432;502
07.01.2020;19:00;0;0;426;501
07.01.2020;20:00;0;0;429;497
07.01.2020;21:00;0;0;431;501
07.01.2020;22:00;0;0;415;499
07.01.2020;23:00;0;0;411;430
08.01.2020;00:00;0;0;353;426
08.01.2020;01:00;0;0;377;383
08.01.2020;02:00;0;0;357;368
08.01.2020;03:00;0;0;355;370
08.01.2020;04:00;0;0;364;370
08.01.2020;05:00;0;0;431;406
08.01.2020;06:00;0;0;442;496
08.01.2020;07:00;0;0;436;499
08.01.2020;08:00;0;0;432;497
08.01.2020;09:00;0;0;437;499
08.01.2020;10:00;0;0;431;494
08.01.2020;11:00;0;0;432;491
08.01.2020;12:00;0;0;432;501
08.01.2020;13:00;0;0;434;501
08.01.2020;14:00;0;0;432;499
08.01.2020;15:00;0;0;442;499
08.01.2020;16:00;0;0;441;500
08.01.2020;17:00;0;0;439;501
08.01.2020;18:00;0;0;436;501
08.01.2020;19:00;0;0;432;503
08.01.2020;20:00;0;0;428;502
08.01.2020;21:00;0;0;438;502
08.01.2020;22:00;0;0;420;505
08.01.2020;23:00;0;0;416;502
09.01.2020;00:00;0;0;427;497
09.01.2020;01:00;0;0;429;503
09.01.2020;02:00;0;0;420;500
09.01.2020;03:00;0;0;428;501
09.01.2020;04:00;0;0;429;502
09.01.2020;05:00;0;0;431;501
09.01.2020;06:00;0;0;447;502
09.01.2020;07:00;0;0;446;503
09.01.2020;08:00;0;0;449;502
09.01.2020;09:00;0;0;450;443
09.01.2020;10:00;0;0;423;442
09.01.2020;11:00;0;0;450;445
09.01.2020;12:00;0;0;452;420
09.01.2020;13:00;0;0;455;432
09.01.2020;14:00;0;0;433;430
09.01.2020;15:00;0;0;438;431
09.01.2020;16:00;0;0;418;433
09.01.2020;17:00;0;0;423;457
09.01.2020;18:00;0;0;423;501
09.01.2020;19:00;0;0;417;500
09.01.2020;20:00;0;0;417;502
09.01.2020;21:00;0;0;418;501
09.01.2020;22:00;0;0;417;501
09.01.2020;23:00;0;0;427;502
10.01.2020;00:00;0;0;435;501
10.01.2020;01:00;0;0;439;398
10.01.2020;02:00;0;0;438;371
10.01.2020;03:00;0;0;433;371
10.01.2020;04:00;0;0;418;373
10.01.2020;05:00;0;0;427;481
10.01.2020;06:00;0;0;428;502
10.01.2020;07:00;0;0;435;500
10.01.2020;08:00;0;0;430;500
10.01.2020;09:00;0;0;427;501
10.01.2020;10:00;0;0;427;502
10.01.2020;11:00;0;0;427;501
10.01.2020;12:00;0;0;429;503
10.01.2020;13:00;0;0;426;500
10.01.2020;14:00;0;0;419;500
10.01.2020;15:00;0;0;414;502
10.01.2020;16:00;0;0;418;501
10.01.2020;17:00;0;0;412;501
10.01.2020;18:00;0;0;412;501
10.01.2020;19:00;0;0;410;496
10.01.2020;20:00;0;0;412;502
10.01.2020;21:00;0;0;415;502
10.01.2020;22:00;0;0;419;502
10.01.2020;23:00;0;0;420;502
11.01.2020;00:00;0;0;423;502
11.01.2020;01:00;0;0;418;503
11.01.2020;02:00;0;0;417;502
11.01.2020;03:00;0;0;418;503
11.01.2020;04:00;0;0;435;483
11.01.2020;05:00;0;0;448;480
11.01.2020;06:00;0;0;453;485
