Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
11.01.2020;02:00;148
11.01.2020;03:00;147
11.01.2020;04:00;145
11.01.2020;05:00;148
11.01.2020;06:00;145
11.01.2020;07:00;144
11.01.2020;08:00;145
11.01.2020;09:00;152
11.01.2020;10:00;149
11.01.2020;11:00;150
11.01.2020;12:00;145
11.01.2020;13:00;143
11.01.2020;14:00;145
11.01.2020;15:00;146
11.01.2020;16:00;149
11.01.2020;17:00;151
11.01.2020;18:00;151
11.01.2020;19:00;155
11.01.2020;20:00;154
11.01.2020;21:00;154
11.01.2020;22:00;157
11.01.2020;23:00;162
12.01.2020;00:00;159
12.01.2020;01:00;133
12.01.2020;02:00;134
12.01.2020;03:00;134
12.01.2020;04:00;117
12.01.2020;05:00;118
12.01.2020;06:00;120
12.01.2020;07:00;119
12.01.2020;08:00;142
12.01.2020;09:00;141
12.01.2020;10:00;138
12.01.2020;11:00;140
12.01.2020;12:00;142
12.01.2020;13:00;140
12.01.2020;14:00;141
12.01.2020;15:00;139
12.01.2020;16:00;141
12.01.2020;17:00;146
12.01.2020;18:00;145
12.01.2020;19:00;123
12.01.2020;20:00;130
12.01.2020;21:00;130
12.01.2020;22:00;116
12.01.2020;23:00;126
13.01.2020;00:00;120
13.01.2020;01:00;137
13.01.2020;02:00;116
13.01.2020;03:00;116
13.01.2020;04:00;133
13.01.2020;05:00;133
13.01.2020;06:00;153
13.01.2020;07:00;155
13.01.2020;08:00;153
13.01.2020;09:00;158
13.01.2020;10:00;158
13.01.2020;11:00;158
13.01.2020;12:00;152
13.01.2020;13:00;147
13.01.2020;14:00;148
13.01.2020;15:00;152
13.01.2020;16:00;165
13.01.2020;17:00;164
13.01.2020;18:00;164
13.01.2020;19:00;166
13.01.2020;20:00;124
13.01.2020;21:00;123
13.01.2020;22:00;124
13.01.2020;23:00;132
14.01.2020;00:00;123
14.01.2020;01:00;116
14.01.2020;02:00;116
14.01.2020;03:00;116
14.01.2020;04:00;116
14.01.2020;05:00;116
14.01.2020;06:00;142
14.01.2020;07:00;147
14.01.2020;08:00;139
14.01.2020;09:00;136
14.01.2020;10:00;145
14.01.2020;11:00;147
14.01.2020;12:00;157
14.01.2020;13:00;147
14.01.2020;14:00;155
14.01.2020;15:00;154
14.01.2020;16:00;147
14.01.2020;17:00;146
14.01.2020;18:00;151
14.01.2020;19:00;149
14.01.2020;20:00;149
14.01.2020;21:00;150
14.01.2020;22:00;147
14.01.2020;23:00;125
15.01.2020;00:00;127
15.01.2020;01:00;128
15.01.2020;02:00;127
15.01.2020;03:00;127
15.01.2020;04:00;124
15.01.2020;05:00;125
15.01.2020;06:00;148
15.01.2020;07:00;148
15.01.2020;08:00;128
15.01.2020;09:00;125
15.01.2020;10:00;125
15.01.2020;11:00;116
15.01.2020;12:00;117
15.01.2020;13:00;118
15.01.2020;14:00;116
15.01.2020;15:00;116
15.01.2020;16:00;121
15.01.2020;17:00;118
15.01.2020;18:00;118
15.01.2020;19:00;125
15.01.2020;20:00;127
15.01.2020;21:00;130
15.01.2020;22:00;128
15.01.2020;23:00;125
16.01.2020;00:00;125
16.01.2020;01:00;124
16.01.2020;02:00;139
16.01.2020;03:00;145
16.01.2020;04:00;144
16.01.2020;05:00;144
16.01.2020;06:00;145
16.01.2020;07:00;146
16.01.2020;08:00;144
16.01.2020;09:00;145
16.01.2020;10:00;153
16.01.2020;11:00;157
16.01.2020;12:00;150
16.01.2020;13:00;156
16.01.2020;14:00;156
16.01.2020;15:00;158
16.01.2020;16:00;155
16.01.2020;17:00;159
16.01.2020;18:00;165
16.01.2020;19:00;159
16.01.2020;20:00;150
16.01.2020;21:00;150
16.01.2020;22:00;146
16.01.2020;23:00;117
17.01.2020;00:00;116
17.01.2020;01:00;116
17.01.2020;02:00;116
17.01.2020;03:00;116
17.01.2020;04:00;116
17.01.2020;05:00;116
17.01.2020;06:00;117
17.01.2020;07:00;142
17.01.2020;08:00;172
17.01.2020;09:00;167
17.01.2020;10:00;162
17.01.2020;11:00;157
17.01.2020;12:00;161
17.01.2020;13:00;157
17.01.2020;14:00;155
17.01.2020;15:00;158
17.01.2020;16:00;154
17.01.2020;17:00;157
17.01.2020;18:00;157
17.01.2020;19:00;156
17.01.2020;20:00;154
17.01.2020;21:00;125
