Datum;Uhrzeit;Generation_DE GT 3[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW]
07.01.2020;17:00;-;172;-
07.01.2020;18:00;-;168;-
07.01.2020;19:00;-;142;-
07.01.2020;20:00;-;138;-
07.01.2020;21:00;-;119;-
07.01.2020;22:00;-;115;-
07.01.2020;23:00;-;0;-
08.01.2020;00:00;-;160;-
08.01.2020;01:00;-;165;-
08.01.2020;02:00;-;168;-
08.01.2020;03:00;-;173;-
08.01.2020;04:00;-;166;-
08.01.2020;05:00;-;115;-
08.01.2020;06:00;-;103;-
08.01.2020;07:00;-;85;-
08.01.2020;08:00;-;79;-
08.01.2020;09:00;-;75;-
08.01.2020;10:00;-;68;-
08.01.2020;11:00;-;68;-
08.01.2020;12:00;-;69;-
08.01.2020;13:00;-;82;-
08.01.2020;14:00;-;0;-
08.01.2020;15:00;-;0;-
08.01.2020;16:00;-;0;-
08.01.2020;17:00;-;0;-
08.01.2020;18:00;-;176;-
08.01.2020;19:00;-;169;-
08.01.2020;20:00;-;172;-
08.01.2020;21:00;-;175;-
08.01.2020;22:00;-;153;-
08.01.2020;23:00;-;0;-
09.01.2020;00:00;-;122;-
09.01.2020;01:00;-;120;-
09.01.2020;02:00;-;138;-
09.01.2020;03:00;-;154;-
09.01.2020;04:00;-;171;-
09.01.2020;05:00;-;171;-
09.01.2020;06:00;-;138;-
09.01.2020;07:00;-;162;-
09.01.2020;08:00;-;165;-
09.01.2020;09:00;-;160;-
09.01.2020;10:00;-;138;-
09.01.2020;11:00;-;117;-
09.01.2020;12:00;-;106;-
09.01.2020;13:00;-;103;-
09.01.2020;14:00;-;113;-
09.01.2020;15:00;-;95;-
09.01.2020;16:00;-;93;-
09.01.2020;17:00;-;116;-
09.01.2020;18:00;-;122;-
09.01.2020;19:00;-;121;-
09.01.2020;20:00;-;110;-
09.01.2020;21:00;-;90;-
09.01.2020;22:00;-;84;-
09.01.2020;23:00;-;0;-
10.01.2020;00:00;-;0;-
10.01.2020;01:00;-;107;-
10.01.2020;02:00;-;125;-
10.01.2020;03:00;-;133;-
10.01.2020;04:00;-;142;-
10.01.2020;05:00;-;118;-
10.01.2020;06:00;-;116;-
10.01.2020;07:00;-;119;-
10.01.2020;08:00;-;122;-
10.01.2020;09:00;-;126;-
10.01.2020;10:00;-;138;-
10.01.2020;11:00;-;137;-
10.01.2020;12:00;-;132;-
10.01.2020;13:00;-;135;-
10.01.2020;14:00;-;148;-
10.01.2020;15:00;-;135;-
10.01.2020;16:00;-;127;-
10.01.2020;17:00;-;128;-
10.01.2020;18:00;-;125;-
10.01.2020;19:00;-;119;-
10.01.2020;20:00;-;129;-
10.01.2020;21:00;-;107;-
10.01.2020;22:00;-;111;-
10.01.2020;23:00;-;0;-
11.01.2020;00:00;-;0;-
11.01.2020;01:00;-;124;-
11.01.2020;02:00;-;124;-
11.01.2020;03:00;-;112;-
11.01.2020;04:00;-;110;-
11.01.2020;05:00;-;117;-
11.01.2020;06:00;-;110;-
11.01.2020;07:00;-;119;-
11.01.2020;08:00;-;121;-
11.01.2020;09:00;-;111;-
11.01.2020;10:00;-;101;-
11.01.2020;11:00;-;107;-
11.01.2020;12:00;-;124;-
11.01.2020;13:00;-;130;-
11.01.2020;14:00;-;123;-
11.01.2020;15:00;-;107;-
11.01.2020;16:00;-;136;-
11.01.2020;17:00;-;132;-
11.01.2020;18:00;-;144;-
11.01.2020;19:00;-;129;-
11.01.2020;20:00;-;130;-
11.01.2020;21:00;-;129;-
11.01.2020;22:00;-;131;-
11.01.2020;23:00;-;0;-
12.01.2020;00:00;-;0;-
12.01.2020;01:00;-;110;-
12.01.2020;02:00;-;119;-
12.01.2020;03:00;-;110;-
12.01.2020;04:00;-;120;-
12.01.2020;05:00;-;121;-
12.01.2020;06:00;-;120;-
12.01.2020;07:00;-;121;-
12.01.2020;08:00;-;121;-
12.01.2020;09:00;-;123;-
12.01.2020;10:00;-;126;-
12.01.2020;11:00;-;93;-
12.01.2020;12:00;-;99;-
12.01.2020;13:00;-;92;-
12.01.2020;14:00;-;117;-
12.01.2020;15:00;-;125;-
12.01.2020;16:00;-;125;-
12.01.2020;17:00;-;118;-
12.01.2020;18:00;-;118;-
12.01.2020;19:00;-;136;-
12.01.2020;20:00;-;129;-
12.01.2020;21:00;-;111;-
12.01.2020;22:00;-;137;-
12.01.2020;23:00;-;0;-
13.01.2020;00:00;-;0;-
13.01.2020;01:00;-;134;-
13.01.2020;02:00;-;129;-
13.01.2020;03:00;-;102;-
13.01.2020;04:00;-;106;-
13.01.2020;05:00;-;108;-
13.01.2020;06:00;-;107;-
13.01.2020;07:00;-;114;-
13.01.2020;08:00;-;116;-
13.01.2020;09:00;-;127;-
13.01.2020;10:00;-;148;-
13.01.2020;11:00;-;148;-
13.01.2020;12:00;-;133;-
13.01.2020;13:00;-;124;-
13.01.2020;14:00;-;100;-
13.01.2020;15:00;-;101;-
13.01.2020;16:00;-;127;-
13.01.2020;17:00;-;142;-
13.01.2020;18:00;-;129;-
13.01.2020;19:00;-;140;-
13.01.2020;20:00;-;139;-
13.01.2020;21:00;-;143;-
13.01.2020;22:00;-;148;-
13.01.2020;23:00;-;0;-
14.01.2020;00:00;-;0;-
14.01.2020;01:00;-;138;-
14.01.2020;02:00;-;136;-
14.01.2020;03:00;-;129;-
14.01.2020;04:00;-;120;-
14.01.2020;05:00;-;124;-
14.01.2020;06:00;-;123;-
14.01.2020;07:00;-;110;-
14.01.2020;08:00;-;101;-
14.01.2020;09:00;-;123;-
14.01.2020;10:00;-;98;-
14.01.2020;11:00;-;87;-
14.01.2020;12:00;-;91;-
14.01.2020;13:00;-;130;-
14.01.2020;14:00;-;144;-
14.01.2020;15:00;-;142;-
14.01.2020;16:00;-;128;-
14.01.2020;17:00;-;117;-
14.01.2020;18:00;-;122;-
14.01.2020;19:00;-;139;-
14.01.2020;20:00;-;133;-
14.01.2020;21:00;-;143;-
14.01.2020;22:00;-;119;-
14.01.2020;23:00;-;0;-
15.01.2020;00:00;-;0;-
15.01.2020;01:00;-;140;-
15.01.2020;02:00;-;123;-
15.01.2020;03:00;-;128;-
15.01.2020;04:00;-;67;-
15.01.2020;05:00;-;55;-
15.01.2020;06:00;-;55;-
15.01.2020;07:00;-;68;-
15.01.2020;08:00;-;104;-
15.01.2020;09:00;-;139;-
15.01.2020;10:00;-;148;-
15.01.2020;11:00;-;144;-
15.01.2020;12:00;-;142;-
15.01.2020;13:00;-;142;-
15.01.2020;14:00;-;142;-
15.01.2020;15:00;-;139;-
15.01.2020;16:00;-;131;-
15.01.2020;17:00;-;129;-
15.01.2020;18:00;-;128;-
15.01.2020;19:00;-;128;-
15.01.2020;20:00;-;128;-
15.01.2020;21:00;-;112;-
15.01.2020;22:00;-;96;-
15.01.2020;23:00;-;64;-
16.01.2020;00:00;-;56;-
16.01.2020;01:00;-;56;-
16.01.2020;02:00;-;57;-
16.01.2020;03:00;-;57;-
16.01.2020;04:00;-;91;-
16.01.2020;05:00;-;98;-
16.01.2020;06:00;-;88;-
16.01.2020;07:00;-;108;-
16.01.2020;08:00;-;110;-
16.01.2020;09:00;-;117;-
16.01.2020;10:00;-;118;-
16.01.2020;11:00;-;103;-
16.01.2020;12:00;-;104;-
16.01.2020;13:00;-;115;-
16.01.2020;14:00;-;105;-
16.01.2020;15:00;-;58;-
16.01.2020;16:00;-;56;-
16.01.2020;17:00;-;56;-
16.01.2020;18:00;-;57;-
16.01.2020;19:00;-;112;-
16.01.2020;20:00;-;118;-
16.01.2020;21:00;-;115;-
16.01.2020;22:00;-;113;-
16.01.2020;23:00;-;0;-
17.01.2020;00:00;-;101;-
17.01.2020;01:00;-;118;-
17.01.2020;02:00;-;130;-
17.01.2020;03:00;-;139;-
17.01.2020;04:00;-;126;-
17.01.2020;05:00;-;121;-
17.01.2020;06:00;-;110;-
17.01.2020;07:00;-;124;-
17.01.2020;08:00;-;143;-
17.01.2020;09:00;-;153;-
17.01.2020;10:00;-;155;-
17.01.2020;11:00;-;137;-
17.01.2020;12:00;-;136;-
17.01.2020;13:00;-;114;-
17.01.2020;14:00;-;101;-
17.01.2020;15:00;-;104;-
17.01.2020;16:00;-;58;-
17.01.2020;17:00;-;57;-
17.01.2020;18:00;-;60;-
17.01.2020;19:00;-;89;-
17.01.2020;20:00;-;110;-
17.01.2020;21:00;-;110;-
