Datum;Uhrzeit;Generation_DE Block 2 Tiefstack[MW];Generation_DE Gas-und-Dampfturbinen Tiefstack[MW]
08.01.2020;14:00;150;-
08.01.2020;15:00;153;-
08.01.2020;16:00;149;-
08.01.2020;17:00;148;-
08.01.2020;18:00;147;-
08.01.2020;19:00;147;-
08.01.2020;20:00;154;-
08.01.2020;21:00;155;-
08.01.2020;22:00;153;-
08.01.2020;23:00;130;-
09.01.2020;00:00;120;-
09.01.2020;01:00;123;-
09.01.2020;02:00;130;-
09.01.2020;03:00;129;-
09.01.2020;04:00;140;-
09.01.2020;05:00;150;-
09.01.2020;06:00;149;-
09.01.2020;07:00;148;-
09.01.2020;08:00;148;-
09.01.2020;09:00;150;-
09.01.2020;10:00;37;-
09.01.2020;11:00;78;-
09.01.2020;12:00;148;-
09.01.2020;13:00;147;-
09.01.2020;14:00;142;-
09.01.2020;15:00;140;-
09.01.2020;16:00;141;-
09.01.2020;17:00;142;-
09.01.2020;18:00;142;-
09.01.2020;19:00;142;-
09.01.2020;20:00;142;-
09.01.2020;21:00;134;-
09.01.2020;22:00;134;-
09.01.2020;23:00;126;-
10.01.2020;00:00;108;-
10.01.2020;01:00;103;-
10.01.2020;02:00;103;-
10.01.2020;03:00;106;-
10.01.2020;04:00;114;-
10.01.2020;05:00;138;-
10.01.2020;06:00;133;-
10.01.2020;07:00;140;-
10.01.2020;08:00;143;-
10.01.2020;09:00;142;-
10.01.2020;10:00;146;-
10.01.2020;11:00;143;-
10.01.2020;12:00;140;-
10.01.2020;13:00;134;-
10.01.2020;14:00;132;-
10.01.2020;15:00;141;-
10.01.2020;16:00;146;-
10.01.2020;17:00;146;-
10.01.2020;18:00;148;-
10.01.2020;19:00;144;-
10.01.2020;20:00;143;-
10.01.2020;21:00;146;-
10.01.2020;22:00;149;-
10.01.2020;23:00;149;-
11.01.2020;00:00;142;-
11.01.2020;01:00;144;-
11.01.2020;02:00;145;-
11.01.2020;03:00;141;-
11.01.2020;04:00;141;-
11.01.2020;05:00;138;-
11.01.2020;06:00;120;-
11.01.2020;07:00;126;-
11.01.2020;08:00;128;-
11.01.2020;09:00;124;-
11.01.2020;10:00;124;-
11.01.2020;11:00;124;-
11.01.2020;12:00;124;-
11.01.2020;13:00;124;-
11.01.2020;14:00;123;-
11.01.2020;15:00;125;-
11.01.2020;16:00;125;-
11.01.2020;17:00;123;-
11.01.2020;18:00;132;-
11.01.2020;19:00;156;-
11.01.2020;20:00;0;-
11.01.2020;21:00;0;-
11.01.2020;22:00;37;-
11.01.2020;23:00;145;-
12.01.2020;00:00;143;-
12.01.2020;01:00;139;-
12.01.2020;02:00;136;-
12.01.2020;03:00;135;-
12.01.2020;04:00;133;-
12.01.2020;05:00;138;-
12.01.2020;06:00;139;-
12.01.2020;07:00;144;-
12.01.2020;08:00;144;-
12.01.2020;09:00;148;-
12.01.2020;10:00;142;-
12.01.2020;11:00;142;-
12.01.2020;12:00;142;-
12.01.2020;13:00;142;-
12.01.2020;14:00;147;-
12.01.2020;15:00;148;-
12.01.2020;16:00;148;-
12.01.2020;17:00;149;-
12.01.2020;18:00;148;-
12.01.2020;19:00;151;-
12.01.2020;20:00;148;-
12.01.2020;21:00;148;-
12.01.2020;22:00;145;-
12.01.2020;23:00;143;-
13.01.2020;00:00;130;-
13.01.2020;01:00;129;-
13.01.2020;02:00;130;-
13.01.2020;03:00;132;-
13.01.2020;04:00;140;-
13.01.2020;05:00;146;-
13.01.2020;06:00;149;-
13.01.2020;07:00;152;-
13.01.2020;08:00;155;-
13.01.2020;09:00;151;-
13.01.2020;10:00;149;-
13.01.2020;11:00;152;-
13.01.2020;12:00;158;-
13.01.2020;13:00;151;-
13.01.2020;14:00;152;-
13.01.2020;15:00;147;-
13.01.2020;16:00;144;-
13.01.2020;17:00;146;-
13.01.2020;18:00;145;-
13.01.2020;19:00;146;-
13.01.2020;20:00;146;-
13.01.2020;21:00;146;-
13.01.2020;22:00;148;-
13.01.2020;23:00;144;-
14.01.2020;00:00;144;-
14.01.2020;01:00;145;-
14.01.2020;02:00;143;-
14.01.2020;03:00;140;-
14.01.2020;04:00;141;-
14.01.2020;05:00;142;-
14.01.2020;06:00;141;-
14.01.2020;07:00;143;-
14.01.2020;08:00;110;-
14.01.2020;09:00;149;-
14.01.2020;10:00;150;-
14.01.2020;11:00;149;-
14.01.2020;12:00;148;-
14.01.2020;13:00;147;-
14.01.2020;14:00;146;-
14.01.2020;15:00;150;-
14.01.2020;16:00;147;-
14.01.2020;17:00;148;-
14.01.2020;18:00;149;-
14.01.2020;19:00;148;-
14.01.2020;20:00;144;-
14.01.2020;21:00;122;-
14.01.2020;22:00;128;-
14.01.2020;23:00;121;-
15.01.2020;00:00;102;-
15.01.2020;01:00;103;-
15.01.2020;02:00;104;-
15.01.2020;03:00;106;-
15.01.2020;04:00;106;-
15.01.2020;05:00;126;-
15.01.2020;06:00;130;-
15.01.2020;07:00;137;-
15.01.2020;08:00;134;-
15.01.2020;09:00;142;-
15.01.2020;10:00;135;-
15.01.2020;11:00;132;-
15.01.2020;12:00;133;-
15.01.2020;13:00;132;-
15.01.2020;14:00;128;-
15.01.2020;15:00;130;-
15.01.2020;16:00;131;-
15.01.2020;17:00;121;-
15.01.2020;18:00;120;-
15.01.2020;19:00;123;-
15.01.2020;20:00;138;-
15.01.2020;21:00;145;-
15.01.2020;22:00;141;-
15.01.2020;23:00;127;-
16.01.2020;00:00;122;-
16.01.2020;01:00;118;-
16.01.2020;02:00;112;-
16.01.2020;03:00;112;-
16.01.2020;04:00;122;-
16.01.2020;05:00;143;-
16.01.2020;06:00;153;-
16.01.2020;07:00;152;-
16.01.2020;08:00;156;-
16.01.2020;09:00;158;-
16.01.2020;10:00;163;-
