Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
09.01.2020;20:00;426
09.01.2020;21:00;393
09.01.2020;22:00;351
09.01.2020;23:00;304
10.01.2020;00:00;305
10.01.2020;01:00;304
10.01.2020;02:00;304
10.01.2020;03:00;305
10.01.2020;04:00;304
10.01.2020;05:00;304
10.01.2020;06:00;309
10.01.2020;07:00;342
10.01.2020;08:00;343
10.01.2020;09:00;343
10.01.2020;10:00;343
10.01.2020;11:00;343
10.01.2020;12:00;323
10.01.2020;13:00;279
10.01.2020;14:00;264
10.01.2020;15:00;264
10.01.2020;16:00;267
10.01.2020;17:00;324
10.01.2020;18:00;413
10.01.2020;19:00;416
10.01.2020;20:00;382
10.01.2020;21:00;369
10.01.2020;22:00;362
10.01.2020;23:00;362
11.01.2020;00:00;347
11.01.2020;01:00;343
11.01.2020;02:00;343
11.01.2020;03:00;343
11.01.2020;04:00;348
11.01.2020;05:00;382
11.01.2020;06:00;384
11.01.2020;07:00;430
11.01.2020;08:00;431
11.01.2020;09:00;431
11.01.2020;10:00;431
11.01.2020;11:00;431
11.01.2020;12:00;431
11.01.2020;13:00;431
11.01.2020;14:00;431
11.01.2020;15:00;431
11.01.2020;16:00;431
11.01.2020;17:00;431
11.01.2020;18:00;431
11.01.2020;19:00;431
11.01.2020;20:00;431
11.01.2020;21:00;430
11.01.2020;22:00;431
11.01.2020;23:00;431
12.01.2020;00:00;432
12.01.2020;01:00;431
12.01.2020;02:00;431
12.01.2020;03:00;431
12.01.2020;04:00;431
12.01.2020;05:00;431
12.01.2020;06:00;431
12.01.2020;07:00;431
12.01.2020;08:00;431
12.01.2020;09:00;432
12.01.2020;10:00;431
12.01.2020;11:00;431
12.01.2020;12:00;431
12.01.2020;13:00;431
12.01.2020;14:00;431
12.01.2020;15:00;431
12.01.2020;16:00;431
12.01.2020;17:00;431
12.01.2020;18:00;431
12.01.2020;19:00;431
12.01.2020;20:00;431
12.01.2020;21:00;431
12.01.2020;22:00;431
12.01.2020;23:00;430
13.01.2020;00:00;393
13.01.2020;01:00;393
13.01.2020;02:00;392
13.01.2020;03:00;392
13.01.2020;04:00;393
13.01.2020;05:00;431
13.01.2020;06:00;431
13.01.2020;07:00;431
13.01.2020;08:00;430
13.01.2020;09:00;431
13.01.2020;10:00;431
13.01.2020;11:00;430
13.01.2020;12:00;431
13.01.2020;13:00;430
13.01.2020;14:00;431
13.01.2020;15:00;431
13.01.2020;16:00;431
13.01.2020;17:00;431
13.01.2020;18:00;432
13.01.2020;19:00;431
13.01.2020;20:00;430
13.01.2020;21:00;431
13.01.2020;22:00;431
13.01.2020;23:00;431
14.01.2020;00:00;431
14.01.2020;01:00;430
14.01.2020;02:00;293
14.01.2020;03:00;183
14.01.2020;04:00;347
14.01.2020;05:00;431
14.01.2020;06:00;433
14.01.2020;07:00;394
14.01.2020;08:00;422
14.01.2020;09:00;427
14.01.2020;10:00;416
14.01.2020;11:00;401
14.01.2020;12:00;387
14.01.2020;13:00;367
14.01.2020;14:00;368
14.01.2020;15:00;368
14.01.2020;16:00;368
14.01.2020;17:00;367
14.01.2020;18:00;367
14.01.2020;19:00;367
14.01.2020;20:00;357
14.01.2020;21:00;305
14.01.2020;22:00;285
14.01.2020;23:00;252
15.01.2020;00:00;182
15.01.2020;01:00;166
15.01.2020;02:00;166
15.01.2020;03:00;183
15.01.2020;04:00;267
15.01.2020;05:00;286
15.01.2020;06:00;319
15.01.2020;07:00;358
15.01.2020;08:00;392
15.01.2020;09:00;399
15.01.2020;10:00;402
15.01.2020;11:00;402
15.01.2020;12:00;351
15.01.2020;13:00;324
15.01.2020;14:00;295
15.01.2020;15:00;284
15.01.2020;16:00;284
15.01.2020;17:00;323
15.01.2020;18:00;367
15.01.2020;19:00;424
15.01.2020;20:00;422
15.01.2020;21:00;390
15.01.2020;22:00;362
15.01.2020;23:00;331
16.01.2020;00:00;297
16.01.2020;01:00;254
16.01.2020;02:00;204
16.01.2020;03:00;196
16.01.2020;04:00;204
16.01.2020;05:00;274
16.01.2020;06:00;363
16.01.2020;07:00;409
16.01.2020;08:00;430
16.01.2020;09:00;430
16.01.2020;10:00;431
16.01.2020;11:00;384
16.01.2020;12:00;380
16.01.2020;13:00;358
16.01.2020;14:00;324
16.01.2020;15:00;318
16.01.2020;16:00;330
16.01.2020;17:00;367
16.01.2020;18:00;409
16.01.2020;19:00;431
16.01.2020;20:00;408
16.01.2020;21:00;359
16.01.2020;22:00;352
16.01.2020;23:00;353
17.01.2020;00:00;373
17.01.2020;01:00;377
17.01.2020;02:00;378
17.01.2020;03:00;378
17.01.2020;04:00;384
17.01.2020;05:00;392
17.01.2020;06:00;419
17.01.2020;07:00;431
17.01.2020;08:00;431
17.01.2020;09:00;431
17.01.2020;10:00;431
17.01.2020;11:00;430
17.01.2020;12:00;410
17.01.2020;13:00;369
17.01.2020;14:00;368
17.01.2020;15:00;368
17.01.2020;16:00;389
17.01.2020;17:00;396
17.01.2020;18:00;396
17.01.2020;19:00;421
17.01.2020;20:00;426
17.01.2020;21:00;426
17.01.2020;22:00;408
17.01.2020;23:00;396
18.01.2020;00:00;374
18.01.2020;01:00;359
18.01.2020;02:00;358
18.01.2020;03:00;353
18.01.2020;04:00;342
18.01.2020;05:00;361
18.01.2020;06:00;363
18.01.2020;07:00;363
18.01.2020;08:00;362
18.01.2020;09:00;362
18.01.2020;10:00;364
18.01.2020;11:00;383
18.01.2020;12:00;407
18.01.2020;13:00;362
18.01.2020;14:00;358
18.01.2020;15:00;361
18.01.2020;16:00;387
18.01.2020;17:00;387
18.01.2020;18:00;387
18.01.2020;19:00;387
18.01.2020;20:00;387
18.01.2020;21:00;387
18.01.2020;22:00;387
18.01.2020;23:00;373
19.01.2020;00:00;372
