Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
07.01.2020;17:00;-;40;145
07.01.2020;18:00;-;42;141
07.01.2020;19:00;-;56;159
07.01.2020;20:00;-;55;158
07.01.2020;21:00;-;45;149
07.01.2020;22:00;-;43;148
07.01.2020;23:00;-;43;135
08.01.2020;00:00;-;37;126
08.01.2020;01:00;-;36;133
08.01.2020;02:00;-;41;138
08.01.2020;03:00;-;43;141
08.01.2020;04:00;-;43;137
08.01.2020;05:00;-;45;138
08.01.2020;06:00;-;48;126
08.01.2020;07:00;-;45;122
08.01.2020;08:00;-;44;125
08.01.2020;09:00;-;38;138
08.01.2020;10:00;-;40;142
08.01.2020;11:00;-;41;150
08.01.2020;12:00;-;41;156
08.01.2020;13:00;-;56;192
08.01.2020;14:00;-;38;192
08.01.2020;15:00;-;43;175
08.01.2020;16:00;-;44;141
08.01.2020;17:00;-;53;173
08.01.2020;18:00;-;69;200
08.01.2020;19:00;-;53;188
08.01.2020;20:00;-;62;195
08.01.2020;21:00;-;44;181
08.01.2020;22:00;-;56;188
08.01.2020;23:00;-;80;213
09.01.2020;00:00;-;80;211
09.01.2020;01:00;-;53;189
09.01.2020;02:00;-;58;188
09.01.2020;03:00;-;47;170
09.01.2020;04:00;-;45;165
09.01.2020;05:00;-;52;183
09.01.2020;06:00;-;46;171
09.01.2020;07:00;-;51;166
09.01.2020;08:00;-;46;138
09.01.2020;09:00;-;48;184
09.01.2020;10:00;-;40;186
09.01.2020;11:00;-;37;171
09.01.2020;12:00;-;47;166
09.01.2020;13:00;-;45;134
09.01.2020;14:00;-;48;154
09.01.2020;15:00;-;64;174
09.01.2020;16:00;-;58;194
09.01.2020;17:00;-;59;203
09.01.2020;18:00;-;59;207
09.01.2020;19:00;-;58;213
09.01.2020;20:00;-;63;197
09.01.2020;21:00;-;78;199
09.01.2020;22:00;-;59;192
09.01.2020;23:00;-;59;194
10.01.2020;00:00;-;57;208
10.01.2020;01:00;-;45;200
10.01.2020;02:00;-;43;183
10.01.2020;03:00;-;41;156
10.01.2020;04:00;-;43;150
10.01.2020;05:00;-;52;148
10.01.2020;06:00;-;40;150
10.01.2020;07:00;-;36;135
10.01.2020;08:00;-;47;167
10.01.2020;09:00;-;49;199
