Datum;Uhrzeit;Generation_DE Kraftwerk Rheinfelden[MW]
09.01.2020;20:00;28
09.01.2020;21:00;28
09.01.2020;22:00;28
09.01.2020;23:00;28
10.01.2020;00:00;28
10.01.2020;01:00;28
10.01.2020;02:00;26
10.01.2020;03:00;27
10.01.2020;04:00;28
10.01.2020;05:00;29
10.01.2020;06:00;29
10.01.2020;07:00;29
10.01.2020;08:00;29
10.01.2020;09:00;29
10.01.2020;10:00;29
10.01.2020;11:00;29
10.01.2020;12:00;28
10.01.2020;13:00;28
10.01.2020;14:00;27
10.01.2020;15:00;26
10.01.2020;16:00;26
10.01.2020;17:00;26
10.01.2020;18:00;26
10.01.2020;19:00;26
10.01.2020;20:00;25
10.01.2020;21:00;25
10.01.2020;22:00;25
10.01.2020;23:00;25
11.01.2020;00:00;26
11.01.2020;01:00;27
11.01.2020;02:00;27
11.01.2020;03:00;27
11.01.2020;04:00;27
11.01.2020;05:00;28
11.01.2020;06:00;27
11.01.2020;07:00;27
11.01.2020;08:00;26
11.01.2020;09:00;26
11.01.2020;10:00;26
11.01.2020;11:00;26
11.01.2020;12:00;26
11.01.2020;13:00;26
11.01.2020;14:00;26
11.01.2020;15:00;26
11.01.2020;16:00;26
11.01.2020;17:00;26
11.01.2020;18:00;26
11.01.2020;19:00;26
11.01.2020;20:00;25
11.01.2020;21:00;25
11.01.2020;22:00;25
11.01.2020;23:00;25
12.01.2020;00:00;24
12.01.2020;01:00;24
12.01.2020;02:00;24
12.01.2020;03:00;24
12.01.2020;04:00;24
12.01.2020;05:00;24
12.01.2020;06:00;24
12.01.2020;07:00;24
12.01.2020;08:00;24
12.01.2020;09:00;24
12.01.2020;10:00;24
12.01.2020;11:00;23
12.01.2020;12:00;22
12.01.2020;13:00;22
12.01.2020;14:00;22
12.01.2020;15:00;22
12.01.2020;16:00;22
12.01.2020;17:00;22
12.01.2020;18:00;22
12.01.2020;19:00;22
12.01.2020;20:00;22
12.01.2020;21:00;22
12.01.2020;22:00;22
12.01.2020;23:00;22
13.01.2020;00:00;22
13.01.2020;01:00;23
13.01.2020;02:00;23
13.01.2020;03:00;23
13.01.2020;04:00;23
13.01.2020;05:00;22
13.01.2020;06:00;22
13.01.2020;07:00;25
13.01.2020;08:00;26
13.01.2020;09:00;26
13.01.2020;10:00;26
13.01.2020;11:00;25
13.01.2020;12:00;26
13.01.2020;13:00;26
13.01.2020;14:00;26
13.01.2020;15:00;26
13.01.2020;16:00;26
13.01.2020;17:00;28
13.01.2020;18:00;28
13.01.2020;19:00;28
13.01.2020;20:00;27
13.01.2020;21:00;25
13.01.2020;22:00;23
13.01.2020;23:00;23
14.01.2020;00:00;23
14.01.2020;01:00;22
14.01.2020;02:00;22
