Datum;Uhrzeit;Generation_DE A[MW];Generation_DE B[MW]
08.01.2020;16:00;689;708
08.01.2020;17:00;648;717
08.01.2020;18:00;569;719
08.01.2020;19:00;571;720
08.01.2020;20:00;551;723
08.01.2020;21:00;561;727
08.01.2020;22:00;554;723
08.01.2020;23:00;553;729
09.01.2020;00:00;558;717
09.01.2020;01:00;561;714
09.01.2020;02:00;552;715
09.01.2020;03:00;556;723
09.01.2020;04:00;567;726
09.01.2020;05:00;588;715
09.01.2020;06:00;597;719
09.01.2020;07:00;596;720
09.01.2020;08:00;580;710
09.01.2020;09:00;561;645
09.01.2020;10:00;573;651
09.01.2020;11:00;580;676
09.01.2020;12:00;547;605
09.01.2020;13:00;529;533
09.01.2020;14:00;483;551
09.01.2020;15:00;580;647
09.01.2020;16:00;578;707
09.01.2020;17:00;547;649
09.01.2020;18:00;583;668
09.01.2020;19:00;583;659
09.01.2020;20:00;584;639
09.01.2020;21:00;586;652
09.01.2020;22:00;543;649
09.01.2020;23:00;540;627
10.01.2020;00:00;581;717
10.01.2020;01:00;586;718
10.01.2020;02:00;595;717
10.01.2020;03:00;598;715
10.01.2020;04:00;597;721
10.01.2020;05:00;694;734
10.01.2020;06:00;699;727
10.01.2020;07:00;701;716
10.01.2020;08:00;701;720
10.01.2020;09:00;694;714
10.01.2020;10:00;708;722
10.01.2020;11:00;698;718
10.01.2020;12:00;703;721
10.01.2020;13:00;707;716
10.01.2020;14:00;692;721
10.01.2020;15:00;690;716
10.01.2020;16:00;668;716
10.01.2020;17:00;676;713
10.01.2020;18:00;672;715
10.01.2020;19:00;667;702
10.01.2020;20:00;662;718
10.01.2020;21:00;682;729
10.01.2020;22:00;674;730
10.01.2020;23:00;676;722
11.01.2020;00:00;677;729
11.01.2020;01:00;676;733
11.01.2020;02:00;678;727
11.01.2020;03:00;688;730
11.01.2020;04:00;681;713
11.01.2020;05:00;694;703
11.01.2020;06:00;688;704
11.01.2020;07:00;583;598
11.01.2020;08:00;708;720
11.01.2020;09:00;713;731
11.01.2020;10:00;711;724
11.01.2020;11:00;711;728
11.01.2020;12:00;702;729
11.01.2020;13:00;561;718
11.01.2020;14:00;569;713
11.01.2020;15:00;715;719
11.01.2020;16:00;713;722
11.01.2020;17:00;716;726
11.01.2020;18:00;707;718
11.01.2020;19:00;695;705
11.01.2020;20:00;620;680
11.01.2020;21:00;523;645
11.01.2020;22:00;495;663
11.01.2020;23:00;426;513
12.01.2020;00:00;340;411
12.01.2020;01:00;0;354
12.01.2020;02:00;0;288
12.01.2020;03:00;0;292
12.01.2020;04:00;0;266
12.01.2020;05:00;0;274
12.01.2020;06:00;0;274
12.01.2020;07:00;0;376
12.01.2020;08:00;0;373
12.01.2020;09:00;0;525
12.01.2020;10:00;0;376
12.01.2020;11:00;0;462
12.01.2020;12:00;0;429
12.01.2020;13:00;3;339
12.01.2020;14:00;181;387
12.01.2020;15:00;381;401
12.01.2020;16:00;481;512
12.01.2020;17:00;576;688
12.01.2020;18:00;568;571
12.01.2020;19:00;506;537
12.01.2020;20:00;573;564
12.01.2020;21:00;505;442
12.01.2020;22:00;416;364
12.01.2020;23:00;477;359
13.01.2020;00:00;511;393
13.01.2020;01:00;514;408
13.01.2020;02:00;589;549
13.01.2020;03:00;507;537
13.01.2020;04:00;552;619
13.01.2020;05:00;707;731
13.01.2020;06:00;720;739
13.01.2020;07:00;717;735
13.01.2020;08:00;712;732
13.01.2020;09:00;717;734
13.01.2020;10:00;702;736
13.01.2020;11:00;707;738
13.01.2020;12:00;700;729
13.01.2020;13:00;692;727
13.01.2020;14:00;691;720
13.01.2020;15:00;681;718
13.01.2020;16:00;597;716
13.01.2020;17:00;636;726
13.01.2020;18:00;602;716
13.01.2020;19:00;591;713
13.01.2020;20:00;597;706
13.01.2020;21:00;573;689
13.01.2020;22:00;587;700
13.01.2020;23:00;504;555
14.01.2020;00:00;425;385
14.01.2020;01:00;406;292
14.01.2020;02:00;404;282
14.01.2020;03:00;394;276
14.01.2020;04:00;393;278
14.01.2020;05:00;414;334
14.01.2020;06:00;392;405
14.01.2020;07:00;368;326
14.01.2020;08:00;408;436
14.01.2020;09:00;465;437
14.01.2020;10:00;596;577
14.01.2020;11:00;706;713
14.01.2020;12:00;627;644
14.01.2020;13:00;538;580
14.01.2020;14:00;680;709
14.01.2020;15:00;687;708
14.01.2020;16:00;601;712
14.01.2020;17:00;662;714
14.01.2020;18:00;667;682
14.01.2020;19:00;535;461
14.01.2020;20:00;380;306
14.01.2020;21:00;372;308
14.01.2020;22:00;341;278
14.01.2020;23:00;340;279
15.01.2020;00:00;328;261
15.01.2020;01:00;326;357
15.01.2020;02:00;309;257
15.01.2020;03:00;326;257
15.01.2020;04:00;352;322
15.01.2020;05:00;364;290
15.01.2020;06:00;392;478
15.01.2020;07:00;532;615
15.01.2020;08:00;606;672
15.01.2020;09:00;564;579
15.01.2020;10:00;501;372
15.01.2020;11:00;441;423
15.01.2020;12:00;413;434
15.01.2020;13:00;395;436
15.01.2020;14:00;535;577
15.01.2020;15:00;663;561
15.01.2020;16:00;627;584
15.01.2020;17:00;630;711
15.01.2020;18:00;621;703
15.01.2020;19:00;609;703
15.01.2020;20:00;644;688
15.01.2020;21:00;525;622
15.01.2020;22:00;587;681
15.01.2020;23:00;618;684
16.01.2020;00:00;584;721
16.01.2020;01:00;542;724
16.01.2020;02:00;589;726
16.01.2020;03:00;655;728
16.01.2020;04:00;656;729
16.01.2020;05:00;658;727
16.01.2020;06:00;663;724
16.01.2020;07:00;665;725
16.01.2020;08:00;655;726
16.01.2020;09:00;651;727
16.01.2020;10:00;652;725
16.01.2020;11:00;632;709
16.01.2020;12:00;617;682
16.01.2020;13:00;667;724
16.01.2020;14:00;689;722
16.01.2020;15:00;682;723
16.01.2020;16:00;674;721
16.01.2020;17:00;663;724
16.01.2020;18:00;661;720
16.01.2020;19:00;671;724
16.01.2020;20:00;670;723
16.01.2020;21:00;665;716
16.01.2020;22:00;670;723
16.01.2020;23:00;654;683
17.01.2020;00:00;675;719
17.01.2020;01:00;674;716
17.01.2020;02:00;679;715
17.01.2020;03:00;679;716
17.01.2020;04:00;679;719
17.01.2020;05:00;692;721
17.01.2020;06:00;703;719
17.01.2020;07:00;711;715
17.01.2020;08:00;709;716
17.01.2020;09:00;715;721
17.01.2020;10:00;710;725
17.01.2020;11:00;712;723
17.01.2020;12:00;709;724
17.01.2020;13:00;713;718
17.01.2020;14:00;707;724
17.01.2020;15:00;697;722
17.01.2020;16:00;680;723
17.01.2020;17:00;676;722
17.01.2020;18:00;677;721
17.01.2020;19:00;678;719
17.01.2020;20:00;692;722
17.01.2020;21:00;687;722
17.01.2020;22:00;659;685
17.01.2020;23:00;511;466
18.01.2020;00:00;364;291
18.01.2020;01:00;353;286
18.01.2020;02:00;356;287
18.01.2020;03:00;450;442
18.01.2020;04:00;570;580
18.01.2020;05:00;707;656
18.01.2020;06:00;706;714
18.01.2020;07:00;705;717
18.01.2020;08:00;635;646
18.01.2020;09:00;702;722
18.01.2020;10:00;702;719
18.01.2020;11:00;699;720
18.01.2020;12:00;703;722
18.01.2020;13:00;709;728
18.01.2020;14:00;707;725
18.01.2020;15:00;709;724
18.01.2020;16:00;709;726
18.01.2020;17:00;709;729
18.01.2020;18:00;709;735
18.01.2020;19:00;704;732
18.01.2020;20:00;705;726
18.01.2020;21:00;689;728
18.01.2020;22:00;710;731
18.01.2020;23:00;716;731
19.01.2020;00:00;719;735
19.01.2020;01:00;713;722
19.01.2020;02:00;706;727
19.01.2020;03:00;715;728
19.01.2020;04:00;726;730
19.01.2020;05:00;740;736
19.01.2020;06:00;734;735
19.01.2020;07:00;739;737
19.01.2020;08:00;730;731
19.01.2020;09:00;725;726
19.01.2020;10:00;718;720
19.01.2020;11:00;718;728
19.01.2020;12:00;720;727
19.01.2020;13:00;724;724
19.01.2020;14:00;719;726
19.01.2020;15:00;723;728
19.01.2020;16:00;726;728
19.01.2020;17:00;724;681
19.01.2020;18:00;702;0
19.01.2020;19:00;695;0
19.01.2020;20:00;682;0
19.01.2020;21:00;707;0
19.01.2020;22:00;703;0
19.01.2020;23:00;705;311
20.01.2020;00:00;708;470
20.01.2020;01:00;706;640
20.01.2020;02:00;700;640
20.01.2020;03:00;706;654
20.01.2020;04:00;712;658
20.01.2020;05:00;709;654
20.01.2020;06:00;648;650
20.01.2020;07:00;627;659
20.01.2020;08:00;631;642
20.01.2020;09:00;640;644
20.01.2020;10:00;642;645
20.01.2020;11:00;640;667
