Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
07.01.2020;05:00;161;0;-;-;-
07.01.2020;06:00;157;0;-;-;-
07.01.2020;07:00;159;0;-;-;-
07.01.2020;08:00;158;0;-;-;-
07.01.2020;09:00;159;0;-;-;-
07.01.2020;10:00;159;0;-;-;-
07.01.2020;11:00;158;0;-;-;-
07.01.2020;12:00;150;46;-;-;-
07.01.2020;13:00;129;162;-;-;-
07.01.2020;14:00;129;156;-;-;-
07.01.2020;15:00;127;156;-;-;-
07.01.2020;16:00;126;159;-;-;-
07.01.2020;17:00;139;159;-;-;-
07.01.2020;18:00;162;128;-;-;-
07.01.2020;19:00;162;128;-;-;-
07.01.2020;20:00;148;127;-;-;-
07.01.2020;21:00;146;127;-;-;-
07.01.2020;22:00;146;128;-;-;-
07.01.2020;23:00;139;127;-;-;-
08.01.2020;00:00;136;129;-;-;-
08.01.2020;01:00;135;127;-;-;-
08.01.2020;02:00;125;122;-;-;-
08.01.2020;03:00;119;116;-;-;-
08.01.2020;04:00;119;117;-;-;-
08.01.2020;05:00;135;132;-;-;-
08.01.2020;06:00;127;128;-;-;-
08.01.2020;07:00;131;128;-;-;-
08.01.2020;08:00;144;150;-;-;-
08.01.2020;09:00;141;158;-;-;-
08.01.2020;10:00;150;225;-;-;-
08.01.2020;11:00;143;152;-;-;-
08.01.2020;12:00;173;168;-;-;-
08.01.2020;13:00;175;184;-;-;-
08.01.2020;14:00;174;187;-;-;-
08.01.2020;15:00;175;187;-;-;-
08.01.2020;16:00;175;191;-;-;-
08.01.2020;17:00;175;196;-;-;-
08.01.2020;18:00;175;196;-;-;-
08.01.2020;19:00;174;196;-;-;-
08.01.2020;20:00;174;197;-;-;-
08.01.2020;21:00;177;197;-;-;-
08.01.2020;22:00;174;197;-;-;-
08.01.2020;23:00;175;204;-;-;-
09.01.2020;00:00;175;172;-;-;-
09.01.2020;01:00;162;127;-;-;-
09.01.2020;02:00;147;129;-;-;-
09.01.2020;03:00;147;129;-;-;-
09.01.2020;04:00;153;126;-;-;-
09.01.2020;05:00;172;181;-;-;-
09.01.2020;06:00;173;210;-;-;-
09.01.2020;07:00;174;228;-;-;-
09.01.2020;08:00;160;226;-;-;-
09.01.2020;09:00;145;206;-;-;-
09.01.2020;10:00;172;252;-;-;-
09.01.2020;11:00;175;262;-;-;-
09.01.2020;12:00;174;262;-;-;-
09.01.2020;13:00;175;263;-;-;-
09.01.2020;14:00;174;263;-;-;-
09.01.2020;15:00;175;264;-;-;-
09.01.2020;16:00;174;250;-;-;-
09.01.2020;17:00;174;261;-;-;-
09.01.2020;18:00;174;267;-;-;-
09.01.2020;19:00;174;283;-;-;-
09.01.2020;20:00;175;291;-;-;-
09.01.2020;21:00;175;290;-;-;-
09.01.2020;22:00;175;253;-;-;-
09.01.2020;23:00;174;197;-;-;-
10.01.2020;00:00;176;162;-;-;-
10.01.2020;01:00;148;159;-;-;-
10.01.2020;02:00;146;149;-;-;-
10.01.2020;03:00;145;137;-;-;-
10.01.2020;04:00;148;136;-;-;-
10.01.2020;05:00;175;194;-;-;-
10.01.2020;06:00;174;226;-;-;-
10.01.2020;07:00;164;226;-;-;-
10.01.2020;08:00;145;245;-;-;-
10.01.2020;09:00;145;283;-;-;-
10.01.2020;10:00;144;256;-;-;-
10.01.2020;11:00;142;246;-;-;-
10.01.2020;12:00;129;179;-;-;-
10.01.2020;13:00;125;251;-;-;-
10.01.2020;14:00;126;251;-;-;-
10.01.2020;15:00;124;252;-;-;-
10.01.2020;16:00;125;216;-;-;-
10.01.2020;17:00;125;205;-;-;-
10.01.2020;18:00;147;174;-;-;-
10.01.2020;19:00;148;151;-;-;-
10.01.2020;20:00;145;145;-;-;-
10.01.2020;21:00;144;150;-;-;-
10.01.2020;22:00;156;148;-;-;-
10.01.2020;23:00;126;147;-;-;-
11.01.2020;00:00;127;146;-;-;-
11.01.2020;01:00;128;137;-;-;-
11.01.2020;02:00;128;129;-;-;-
11.01.2020;03:00;94;135;-;-;-
11.01.2020;04:00;0;165;-;-;-
11.01.2020;05:00;0;199;-;-;-
11.01.2020;06:00;0;218;-;-;-
11.01.2020;07:00;0;213;-;-;-
11.01.2020;08:00;0;215;-;-;-
11.01.2020;09:00;0;225;-;-;-
11.01.2020;10:00;0;233;-;-;-
11.01.2020;11:00;0;197;-;-;-
11.01.2020;12:00;0;236;-;-;-
11.01.2020;13:00;0;235;-;-;-
11.01.2020;14:00;0;236;-;-;-
11.01.2020;15:00;0;234;-;-;-
11.01.2020;16:00;0;234;-;-;-
11.01.2020;17:00;0;233;-;-;-
11.01.2020;18:00;53;259;-;-;-
11.01.2020;19:00;143;157;-;-;-
11.01.2020;20:00;137;139;-;-;-
11.01.2020;21:00;129;130;-;-;-
11.01.2020;22:00;129;133;-;-;-
11.01.2020;23:00;128;132;-;-;-
12.01.2020;00:00;41;144;-;-;-
12.01.2020;01:00;0;159;-;-;-
12.01.2020;02:00;0;158;-;-;-
12.01.2020;03:00;0;157;-;-;-
12.01.2020;04:00;0;159;-;-;-
12.01.2020;05:00;0;157;-;-;-
12.01.2020;06:00;0;158;-;-;-
12.01.2020;07:00;0;160;-;-;-
12.01.2020;08:00;0;196;-;-;-
12.01.2020;09:00;0;195;-;-;-
12.01.2020;10:00;0;197;-;-;-
12.01.2020;11:00;12;196;-;-;-
12.01.2020;12:00;166;196;-;-;-
12.01.2020;13:00;240;150;-;-;-
12.01.2020;14:00;244;150;-;-;-
12.01.2020;15:00;207;188;-;-;-
12.01.2020;16:00;206;189;-;-;-
12.01.2020;17:00;219;186;-;-;-
12.01.2020;18:00;224;185;-;-;-
12.01.2020;19:00;224;185;-;-;-
12.01.2020;20:00;224;189;-;-;-
12.01.2020;21:00;224;188;-;-;-
12.01.2020;22:00;168;172;-;-;-
12.01.2020;23:00;144;132;-;-;-
13.01.2020;00:00;130;130;-;-;-
13.01.2020;01:00;129;130;-;-;-
13.01.2020;02:00;131;130;-;-;-
13.01.2020;03:00;130;130;-;-;-
13.01.2020;04:00;151;130;-;-;-
13.01.2020;05:00;186;131;-;-;-
13.01.2020;06:00;233;149;-;-;-
13.01.2020;07:00;239;167;-;-;-
13.01.2020;08:00;244;168;-;-;-
13.01.2020;09:00;244;167;-;-;-
13.01.2020;10:00;244;169;-;-;-
13.01.2020;11:00;269;200;-;-;-
13.01.2020;12:00;272;243;-;-;-
13.01.2020;13:00;269;254;-;-;-
13.01.2020;14:00;242;226;-;-;-
13.01.2020;15:00;261;261;-;-;-
13.01.2020;16:00;262;251;-;-;-
13.01.2020;17:00;264;249;-;-;-
13.01.2020;18:00;268;267;-;-;-
13.01.2020;19:00;216;190;-;-;-
13.01.2020;20:00;213;186;-;-;-
13.01.2020;21:00;198;172;-;-;-
13.01.2020;22:00;195;168;-;-;-
13.01.2020;23:00;193;169;-;-;-
14.01.2020;00:00;174;152;-;-;-
14.01.2020;01:00;154;146;-;-;-
14.01.2020;02:00;132;132;-;-;-
14.01.2020;03:00;136;132;-;-;-
14.01.2020;04:00;137;130;-;-;-
14.01.2020;05:00;135;136;-;-;-
14.01.2020;06:00;205;172;-;-;-
14.01.2020;07:00;224;177;-;-;-
14.01.2020;08:00;226;182;-;-;-
14.01.2020;09:00;224;181;-;-;-
14.01.2020;10:00;248;178;-;-;-
14.01.2020;11:00;254;180;-;-;-
14.01.2020;12:00;254;223;-;-;-
14.01.2020;13:00;218;186;-;-;-
14.01.2020;14:00;194;170;-;-;-
14.01.2020;15:00;194;162;-;-;-
14.01.2020;16:00;194;159;-;-;-
14.01.2020;17:00;195;162;-;-;-
14.01.2020;18:00;216;172;-;-;-
14.01.2020;19:00;222;196;-;-;-
14.01.2020;20:00;215;197;-;-;-
14.01.2020;21:00;214;197;-;-;-
14.01.2020;22:00;196;197;-;-;-
14.01.2020;23:00;184;197;-;-;-
15.01.2020;00:00;147;144;-;-;-
15.01.2020;01:00;145;136;-;-;-
15.01.2020;02:00;156;137;-;-;-
15.01.2020;03:00;155;137;-;-;-
15.01.2020;04:00;160;144;-;-;-
15.01.2020;05:00;195;186;-;-;-
15.01.2020;06:00;204;186;-;-;-
15.01.2020;07:00;224;187;-;-;-
15.01.2020;08:00;224;189;-;-;-
15.01.2020;09:00;224;186;-;-;-
