Datum,Uhrzeit,Gesamt[MWh]
03.01.2020,01:30,11487
03.01.2020,01:45,11461
03.01.2020,02:00,11443
03.01.2020,02:15,11355
03.01.2020,02:30,11372
03.01.2020,02:45,11315
03.01.2020,03:00,11344
03.01.2020,03:15,11301
03.01.2020,03:30,11321
03.01.2020,03:45,11335
03.01.2020,04:00,11426
03.01.2020,04:15,11456
03.01.2020,04:30,11550
03.01.2020,04:45,11640
03.01.2020,05:00,11783
03.01.2020,05:15,11881
03.01.2020,05:30,12034
03.01.2020,05:45,12197
03.01.2020,06:00,12510
03.01.2020,06:15,12796
03.01.2020,06:30,13077
03.01.2020,06:45,13404
03.01.2020,07:00,13623
03.01.2020,07:15,13789
03.01.2020,07:30,14148
03.01.2020,07:45,14375
03.01.2020,08:00,14685
03.01.2020,08:15,14872
03.01.2020,08:30,14894
03.01.2020,08:45,15045
03.01.2020,09:00,15097
03.01.2020,09:15,15199
03.01.2020,09:30,15298
03.01.2020,09:45,15295
03.01.2020,10:00,15281
03.01.2020,10:15,15446
03.01.2020,10:30,15459
03.01.2020,10:45,15565
03.01.2020,11:00,15675
03.01.2020,11:15,15767
03.01.2020,11:30,15852
03.01.2020,11:45,15911
03.01.2020,12:00,15924
03.01.2020,12:15,15862
03.01.2020,12:30,15760
03.01.2020,12:45,15684
03.01.2020,13:00,15615
03.01.2020,13:15,15459
03.01.2020,13:30,15309
03.01.2020,13:45,15194
03.01.2020,14:00,15190
03.01.2020,14:15,15130
03.01.2020,14:30,15082
03.01.2020,14:45,15048
03.01.2020,15:00,15052
03.01.2020,15:15,15000
03.01.2020,15:30,14993
03.01.2020,15:45,14938
03.01.2020,16:00,14995
03.01.2020,16:15,14974
03.01.2020,16:30,15285
03.01.2020,16:45,15504
03.01.2020,17:00,15571
03.01.2020,17:15,15532
03.01.2020,17:30,15654
03.01.2020,17:45,15734
03.01.2020,18:00,15599
03.01.2020,18:15,15527
03.01.2020,18:30,15509
03.01.2020,18:45,15522
03.01.2020,19:00,15423
03.01.2020,19:15,15355
03.01.2020,19:30,15210
03.01.2020,19:45,14944
03.01.2020,20:00,14595
03.01.2020,20:15,14330
03.01.2020,20:30,14091
03.01.2020,20:45,13895
03.01.2020,21:00,13697
03.01.2020,21:15,13545
03.01.2020,21:30,13342
03.01.2020,21:45,13222
03.01.2020,22:00,13322
03.01.2020,22:15,13234
03.01.2020,22:30,13088
03.01.2020,22:45,12897
03.01.2020,23:00,12644
03.01.2020,23:15,12450
03.01.2020,23:30,12189
03.01.2020,23:45,12077
04.01.2020,00:00,11918
04.01.2020,00:15,11665
04.01.2020,00:30,11563
04.01.2020,00:45,11626
04.01.2020,01:00,11376
04.01.2020,01:15,11293
04.01.2020,01:30,11163
04.01.2020,01:45,11171
04.01.2020,02:00,11141
04.01.2020,02:15,11041
04.01.2020,02:30,11131
04.01.2020,02:45,11032
04.01.2020,03:00,10951
04.01.2020,03:15,10921
04.01.2020,03:30,10932
04.01.2020,03:45,10997
04.01.2020,04:00,11060
04.01.2020,04:15,11091
04.01.2020,04:30,11167
04.01.2020,04:45,11184
04.01.2020,05:00,11269
04.01.2020,05:15,11262
04.01.2020,05:30,11215
04.01.2020,05:45,11303
04.01.2020,06:00,11369
04.01.2020,06:15,11484
04.01.2020,06:30,11575
04.01.2020,06:45,11710
04.01.2020,07:00,11890
04.01.2020,07:15,12061
04.01.2020,07:30,12385
04.01.2020,07:45,12541
04.01.2020,08:00,12733
04.01.2020,08:15,12848
04.01.2020,08:30,13041
04.01.2020,08:45,13254
04.01.2020,09:00,13581
04.01.2020,09:15,13754
04.01.2020,09:30,13922
04.01.2020,09:45,14081
04.01.2020,10:00,14238
04.01.2020,10:15,14334
04.01.2020,10:30,14424
04.01.2020,10:45,14588
04.01.2020,11:00,14685
04.01.2020,11:15,14900
04.01.2020,11:30,14925
04.01.2020,11:45,14934
04.01.2020,12:00,14968
04.01.2020,12:15,14978
04.01.2020,12:30,15029
04.01.2020,12:45,14898
04.01.2020,13:00,14779
04.01.2020,13:15,14645
04.01.2020,13:30,14567
04.01.2020,13:45,14509
04.01.2020,14:00,14530
04.01.2020,14:15,14487
