Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
09.01.2020,20:00,80
09.01.2020,21:00,79
09.01.2020,22:00,79
09.01.2020,23:00,80
10.01.2020,00:00,79
10.01.2020,01:00,78
10.01.2020,02:00,78
10.01.2020,03:00,79
10.01.2020,04:00,77
10.01.2020,05:00,75
10.01.2020,06:00,75
10.01.2020,07:00,76
10.01.2020,08:00,79
10.01.2020,09:00,75
10.01.2020,10:00,75
10.01.2020,11:00,74
10.01.2020,12:00,70
10.01.2020,13:00,74
10.01.2020,14:00,74
10.01.2020,15:00,73
10.01.2020,16:00,71
10.01.2020,17:00,69
10.01.2020,18:00,70
10.01.2020,19:00,73
10.01.2020,20:00,72
10.01.2020,21:00,72
10.01.2020,22:00,72
10.01.2020,23:00,72
11.01.2020,00:00,71
11.01.2020,01:00,72
11.01.2020,02:00,73
11.01.2020,03:00,73
11.01.2020,04:00,74
11.01.2020,05:00,75
11.01.2020,06:00,72
11.01.2020,07:00,71
11.01.2020,08:00,74
11.01.2020,09:00,72
11.01.2020,10:00,68
11.01.2020,11:00,69
11.01.2020,12:00,69
11.01.2020,13:00,70
11.01.2020,14:00,71
11.01.2020,15:00,70
11.01.2020,16:00,69
11.01.2020,17:00,69
11.01.2020,18:00,68
11.01.2020,19:00,68
11.01.2020,20:00,71
11.01.2020,21:00,72
11.01.2020,22:00,73
11.01.2020,23:00,73
12.01.2020,00:00,72
12.01.2020,01:00,72
12.01.2020,02:00,73
12.01.2020,03:00,72
12.01.2020,04:00,70
12.01.2020,05:00,70
12.01.2020,06:00,71
12.01.2020,07:00,73
12.01.2020,08:00,74
12.01.2020,09:00,74
12.01.2020,10:00,75
12.01.2020,11:00,74
12.01.2020,12:00,71
12.01.2020,13:00,69
12.01.2020,14:00,67
12.01.2020,15:00,65
12.01.2020,16:00,65
12.01.2020,17:00,66
12.01.2020,18:00,65
12.01.2020,19:00,66
12.01.2020,20:00,68
12.01.2020,21:00,68
12.01.2020,22:00,69
12.01.2020,23:00,68
13.01.2020,00:00,69
13.01.2020,01:00,70
13.01.2020,02:00,69
13.01.2020,03:00,68
13.01.2020,04:00,68
13.01.2020,05:00,68
13.01.2020,06:00,66
13.01.2020,07:00,64
13.01.2020,08:00,64
