Datum,Uhrzeit,Generation_DE C2[MW],Generation_DE B2[MW],Generation_DE D[MW],Generation_DE C1[MW],Generation_DE B1[MW]
06.01.2020,09:00,135,136,848,0,0
06.01.2020,10:00,135,136,849,0,0
06.01.2020,11:00,136,136,847,0,0
06.01.2020,12:00,136,136,846,0,0
06.01.2020,13:00,136,136,846,0,0
06.01.2020,14:00,136,136,846,0,0
06.01.2020,15:00,136,136,846,0,0
06.01.2020,16:00,136,136,848,0,0
06.01.2020,17:00,136,136,848,0,0
06.01.2020,18:00,136,135,849,0,0
06.01.2020,19:00,136,135,850,0,0
06.01.2020,20:00,58,48,850,0,0
06.01.2020,21:00,0,0,852,0,0
06.01.2020,22:00,0,0,853,0,0
06.01.2020,23:00,0,0,850,0,0
07.01.2020,00:00,0,0,849,0,0
07.01.2020,01:00,0,0,849,0,0
07.01.2020,02:00,0,0,850,0,0
07.01.2020,03:00,0,0,850,0,0
07.01.2020,04:00,0,0,850,0,0
07.01.2020,05:00,36,35,848,0,0
07.01.2020,06:00,146,145,846,0,0
07.01.2020,07:00,230,235,849,0,0
07.01.2020,08:00,232,228,849,0,0
07.01.2020,09:00,349,348,851,0,0
07.01.2020,10:00,373,345,851,0,0
07.01.2020,11:00,229,226,849,0,0
07.01.2020,12:00,202,206,812,0,0
07.01.2020,13:00,142,148,829,0,0
07.01.2020,14:00,138,138,843,0,0
07.01.2020,15:00,139,140,844,0,0
07.01.2020,16:00,212,217,848,0,0
07.01.2020,17:00,244,329,849,0,0
07.01.2020,18:00,306,334,847,0,0
07.01.2020,19:00,310,334,845,0,0
07.01.2020,20:00,297,333,844,0,0
07.01.2020,21:00,34,299,675,0,0
07.01.2020,22:00,0,299,62,0,0
07.01.2020,23:00,0,47,0,0,0
08.01.2020,00:00,0,0,0,0,0
08.01.2020,01:00,0,0,0,0,0
08.01.2020,02:00,0,0,0,0,0
08.01.2020,03:00,0,0,0,0,0
08.01.2020,04:00,0,0,0,0,0
08.01.2020,05:00,0,0,0,0,0
08.01.2020,06:00,30,20,250,0,0
08.01.2020,07:00,113,111,792,0,0
08.01.2020,08:00,136,124,830,0,0
08.01.2020,09:00,136,137,832,0,0
08.01.2020,10:00,136,137,831,0,0
08.01.2020,11:00,137,137,831,0,0
08.01.2020,12:00,138,168,829,0,0
08.01.2020,13:00,153,240,827,0,0
08.01.2020,14:00,233,255,831,0,0
08.01.2020,15:00,240,253,831,0,0
08.01.2020,16:00,280,465,833,0,0
08.01.2020,17:00,482,480,834,0,0
08.01.2020,18:00,482,482,835,0,0
08.01.2020,19:00,482,482,835,0,0
08.01.2020,20:00,473,481,834,0,0
08.01.2020,21:00,457,422,832,0,0
08.01.2020,22:00,238,40,836,0,0
08.01.2020,23:00,17,0,835,0,0
09.01.2020,00:00,0,0,833,0,0
09.01.2020,01:00,0,0,835,0,0
09.01.2020,02:00,0,0,834,0,0
09.01.2020,03:00,0,0,834,0,0
09.01.2020,04:00,0,0,833,0,0
09.01.2020,05:00,0,1,832,0,0
09.01.2020,06:00,110,112,829,0,0
09.01.2020,07:00,112,144,827,0,0
09.01.2020,08:00,110,138,824,0,0
09.01.2020,09:00,99,93,804,0,0
09.01.2020,10:00,0,0,814,0,0
09.01.2020,11:00,0,0,815,0,0
09.01.2020,12:00,0,0,814,0,0
09.01.2020,13:00,0,0,813,0,0
09.01.2020,14:00,0,0,814,0,0
09.01.2020,15:00,0,0,816,0,0
09.01.2020,16:00,0,0,820,0,0
09.01.2020,17:00,0,0,821,0,0
09.01.2020,18:00,0,0,820,0,0
09.01.2020,19:00,0,0,819,0,0
09.01.2020,20:00,0,0,820,0,0
09.01.2020,21:00,0,0,821,0,0
09.01.2020,22:00,0,0,766,0,0
09.01.2020,23:00,0,0,662,0,0
10.01.2020,00:00,0,0,802,0,0
10.01.2020,01:00,0,0,823,0,0
10.01.2020,02:00,0,0,780,0,0
10.01.2020,03:00,0,0,798,0,0
