Datum,Uhrzeit,Generation_DE B[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE E[MW],Generation_DE D[MW]
06.01.2020,10:00,205,139,0,0,0
06.01.2020,11:00,241,234,0,0,0
06.01.2020,12:00,263,274,0,0,0
06.01.2020,13:00,269,293,0,0,0
06.01.2020,14:00,168,152,0,0,0
06.01.2020,15:00,156,167,0,0,0
06.01.2020,16:00,154,156,0,0,0
06.01.2020,17:00,150,151,0,0,0
06.01.2020,18:00,147,146,0,0,0
06.01.2020,19:00,161,184,0,0,0
06.01.2020,20:00,167,184,0,0,0
06.01.2020,21:00,167,143,0,0,0
06.01.2020,22:00,167,149,0,0,0
06.01.2020,23:00,151,146,0,0,0
07.01.2020,00:00,162,136,0,0,0
07.01.2020,01:00,174,159,0,0,0
07.01.2020,02:00,171,136,0,0,0
07.01.2020,03:00,173,0,0,0,0
07.01.2020,04:00,168,0,0,0,0
07.01.2020,05:00,161,0,0,0,0
07.01.2020,06:00,157,0,0,0,0
07.01.2020,07:00,159,0,0,0,0
07.01.2020,08:00,158,0,0,0,0
07.01.2020,09:00,159,0,0,0,0
07.01.2020,10:00,159,0,0,0,0
07.01.2020,11:00,158,0,0,0,0
07.01.2020,12:00,150,46,0,0,0
07.01.2020,13:00,129,162,0,0,0
07.01.2020,14:00,129,156,0,0,0
07.01.2020,15:00,127,156,0,0,0
07.01.2020,16:00,126,159,0,0,0
07.01.2020,17:00,139,159,0,0,0
07.01.2020,18:00,162,128,0,0,0
07.01.2020,19:00,162,128,0,0,0
07.01.2020,20:00,148,127,0,0,0
07.01.2020,21:00,146,127,0,0,0
07.01.2020,22:00,146,128,0,0,0
07.01.2020,23:00,139,127,0,0,0
08.01.2020,00:00,136,129,0,0,0
08.01.2020,01:00,135,127,0,0,0
08.01.2020,02:00,125,122,0,0,0
08.01.2020,03:00,119,116,0,0,0
08.01.2020,04:00,119,117,0,0,0
08.01.2020,05:00,135,132,0,0,0
08.01.2020,06:00,127,128,0,0,0
08.01.2020,07:00,131,128,0,0,0
08.01.2020,08:00,144,150,0,0,0
08.01.2020,09:00,141,158,0,0,0
08.01.2020,10:00,150,225,0,0,0
08.01.2020,11:00,143,152,0,0,0
08.01.2020,12:00,173,168,0,0,0
08.01.2020,13:00,175,184,0,0,0
08.01.2020,14:00,174,187,0,0,0
08.01.2020,15:00,175,187,0,0,0
08.01.2020,16:00,175,191,0,0,0
08.01.2020,17:00,175,196,0,0,0
08.01.2020,18:00,175,196,0,0,0
08.01.2020,19:00,174,196,0,0,0
08.01.2020,20:00,174,197,0,0,0
08.01.2020,21:00,177,197,0,0,0
08.01.2020,22:00,174,197,0,0,0
08.01.2020,23:00,175,204,0,0,0
09.01.2020,00:00,175,172,0,0,0
09.01.2020,01:00,162,127,0,0,0
09.01.2020,02:00,147,129,0,0,0
09.01.2020,03:00,147,129,0,0,0
09.01.2020,04:00,153,126,0,0,0
09.01.2020,05:00,172,181,0,0,0
09.01.2020,06:00,173,210,0,0,0
09.01.2020,07:00,174,228,0,0,0
09.01.2020,08:00,160,226,0,0,0
09.01.2020,09:00,145,206,0,0,0
09.01.2020,10:00,172,252,0,0,0
09.01.2020,11:00,175,262,0,0,0
09.01.2020,12:00,174,262,0,0,0
09.01.2020,13:00,175,263,0,0,0
09.01.2020,14:00,174,263,0,0,0
09.01.2020,15:00,175,264,0,0,0
09.01.2020,16:00,174,250,0,0,0
09.01.2020,17:00,174,261,0,0,0
09.01.2020,18:00,174,267,0,0,0
09.01.2020,19:00,174,283,0,0,0
09.01.2020,20:00,175,291,0,0,0
09.01.2020,21:00,175,290,0,0,0
09.01.2020,22:00,175,253,0,0,0
09.01.2020,23:00,174,197,0,0,0
10.01.2020,00:00,176,162,0,0,0
10.01.2020,01:00,148,159,0,0,0
10.01.2020,02:00,146,149,0,0,0
10.01.2020,03:00,145,137,0,0,0
10.01.2020,04:00,148,136,0,0,0
10.01.2020,05:00,175,194,0,0,0
10.01.2020,06:00,174,226,0,0,0
10.01.2020,07:00,164,226,0,0,0
10.01.2020,08:00,145,245,0,0,0
10.01.2020,09:00,145,283,0,0,0
10.01.2020,10:00,144,256,0,0,0
10.01.2020,11:00,142,246,0,0,0
10.01.2020,12:00,129,179,0,0,0
10.01.2020,13:00,125,251,0,0,0
10.01.2020,14:00,126,251,0,0,0
10.01.2020,15:00,124,252,0,0,0
10.01.2020,16:00,125,216,0,0,0
10.01.2020,17:00,125,205,0,0,0
10.01.2020,18:00,147,174,0,0,0
10.01.2020,19:00,148,151,0,0,0
10.01.2020,20:00,145,145,0,0,0
10.01.2020,21:00,144,150,0,0,0
10.01.2020,22:00,156,148,0,0,0
10.01.2020,23:00,126,147,0,0,0
11.01.2020,00:00,127,146,0,0,0
11.01.2020,01:00,128,137,0,0,0
11.01.2020,02:00,128,129,0,0,0
11.01.2020,03:00,94,135,0,0,0
11.01.2020,04:00,0,165,0,0,0
11.01.2020,05:00,0,199,0,0,0
11.01.2020,06:00,0,218,0,0,0
11.01.2020,07:00,0,213,0,0,0
11.01.2020,08:00,0,215,0,0,0
11.01.2020,09:00,0,225,0,0,0
11.01.2020,10:00,0,233,0,0,0
11.01.2020,11:00,0,197,0,0,0
11.01.2020,12:00,0,236,0,0,0
11.01.2020,13:00,0,235,0,0,0
11.01.2020,14:00,0,236,0,0,0
11.01.2020,15:00,0,234,0,0,0
11.01.2020,16:00,0,234,0,0,0
11.01.2020,17:00,0,233,0,0,0
11.01.2020,18:00,53,259,0,0,0
11.01.2020,19:00,143,157,0,0,0
11.01.2020,20:00,137,139,0,0,0
11.01.2020,21:00,129,130,0,0,0
11.01.2020,22:00,129,133,0,0,0
11.01.2020,23:00,128,132,0,0,0
12.01.2020,00:00,41,144,0,0,0
12.01.2020,01:00,0,159,0,0,0
12.01.2020,02:00,0,158,0,0,0
12.01.2020,03:00,0,157,0,0,0
12.01.2020,04:00,0,159,0,0,0
12.01.2020,05:00,0,157,0,0,0
12.01.2020,06:00,0,158,0,0,0
12.01.2020,07:00,0,160,0,0,0
12.01.2020,08:00,0,196,0,0,0
12.01.2020,09:00,0,195,0,0,0
12.01.2020,10:00,0,197,0,0,0
12.01.2020,11:00,12,196,0,0,0
12.01.2020,12:00,166,196,0,0,0
12.01.2020,13:00,240,150,0,0,0
12.01.2020,14:00,244,150,0,0,0
12.01.2020,15:00,207,188,0,0,0
12.01.2020,16:00,206,189,0,0,0
12.01.2020,17:00,219,186,0,0,0
12.01.2020,18:00,224,185,0,0,0
12.01.2020,19:00,224,185,0,0,0
12.01.2020,20:00,224,189,0,0,0
12.01.2020,21:00,224,188,0,0,0
12.01.2020,22:00,168,172,0,0,0
12.01.2020,23:00,144,132,0,0,0
13.01.2020,00:00,130,130,0,0,0
13.01.2020,01:00,129,130,0,0,0
13.01.2020,02:00,131,130,0,0,0
13.01.2020,03:00,130,130,0,0,0
13.01.2020,04:00,151,130,0,0,0
13.01.2020,05:00,186,131,0,0,0
13.01.2020,06:00,233,149,0,0,0
13.01.2020,07:00,239,167,0,0,0
13.01.2020,08:00,244,168,0,0,0
13.01.2020,09:00,244,167,0,0,0
13.01.2020,10:00,244,169,0,0,0
13.01.2020,11:00,269,200,0,0,0
13.01.2020,12:00,272,243,0,0,0
13.01.2020,13:00,269,254,0,0,0
13.01.2020,14:00,242,226,0,0,0
13.01.2020,15:00,261,261,0,0,0
13.01.2020,16:00,262,251,0,0,0
13.01.2020,17:00,264,249,0,0,0
13.01.2020,18:00,268,267,0,0,0
13.01.2020,19:00,216,190,0,0,0
13.01.2020,20:00,213,186,0,0,0
13.01.2020,21:00,198,172,0,0,0
13.01.2020,22:00,195,168,0,0,0
13.01.2020,23:00,193,169,0,0,0
14.01.2020,00:00,174,152,0,0,0
14.01.2020,01:00,154,146,0,0,0
14.01.2020,02:00,132,132,0,0,0
14.01.2020,03:00,136,132,0,0,0
14.01.2020,04:00,137,130,0,0,0
14.01.2020,05:00,135,136,0,0,0
14.01.2020,06:00,205,172,0,0,0
14.01.2020,07:00,224,177,0,0,0
14.01.2020,08:00,226,182,0,0,0
14.01.2020,09:00,224,181,0,0,0
14.01.2020,10:00,248,178,0,0,0
14.01.2020,11:00,254,180,0,0,0
14.01.2020,12:00,254,223,0,0,0
14.01.2020,13:00,218,186,0,0,0
14.01.2020,14:00,194,170,0,0,0
14.01.2020,15:00,194,162,0,0,0
14.01.2020,16:00,194,159,0,0,0
14.01.2020,17:00,195,162,0,0,0
14.01.2020,18:00,216,172,0,0,0
14.01.2020,19:00,222,196,0,0,0
14.01.2020,20:00,215,197,0,0,0
14.01.2020,21:00,214,197,0,0,0
14.01.2020,22:00,196,197,0,0,0
14.01.2020,23:00,184,197,0,0,0
15.01.2020,00:00,147,144,0,0,0
15.01.2020,01:00,145,136,0,0,0
15.01.2020,02:00,156,137,0,0,0
15.01.2020,03:00,155,137,0,0,0
15.01.2020,04:00,160,144,0,0,0
15.01.2020,05:00,195,186,0,0,0
15.01.2020,06:00,204,186,0,0,0
15.01.2020,07:00,224,187,0,0,0
15.01.2020,08:00,224,189,0,0,0
15.01.2020,09:00,224,186,0,0,0
15.01.2020,10:00,224,187,0,0,0
15.01.2020,11:00,212,203,0,0,0
15.01.2020,12:00,258,259,0,0,0
15.01.2020,13:00,207,207,0,0,0
15.01.2020,14:00,218,220,0,0,0
15.01.2020,15:00,225,224,0,0,0
15.01.2020,16:00,214,207,0,0,0
15.01.2020,17:00,215,206,0,0,0
15.01.2020,18:00,214,206,0,0,0
15.01.2020,19:00,215,167,0,0,0
15.01.2020,20:00,210,161,0,0,0
15.01.2020,21:00,206,158,0,0,0
15.01.2020,22:00,205,144,0,0,0
15.01.2020,23:00,205,149,0,0,0
16.01.2020,00:00,205,150,0,0,0
16.01.2020,01:00,187,136,0,0,0
16.01.2020,02:00,165,136,0,0,0
16.01.2020,03:00,166,138,0,0,0
16.01.2020,04:00,164,137,0,0,0
16.01.2020,05:00,178,144,0,0,0
16.01.2020,06:00,185,173,0,0,0
16.01.2020,07:00,185,178,0,0,0
16.01.2020,08:00,185,190,0,0,0
16.01.2020,09:00,206,197,0,0,0
16.01.2020,10:00,246,236,0,0,0
16.01.2020,11:00,262,264,0,0,0
16.01.2020,12:00,262,235,0,0,0
16.01.2020,13:00,258,235,0,0,0
16.01.2020,14:00,253,234,0,0,0
16.01.2020,15:00,252,235,0,0,0
16.01.2020,16:00,250,225,0,0,0
16.01.2020,17:00,243,215,0,0,0
16.01.2020,18:00,241,215,0,0,0
16.01.2020,19:00,244,217,0,0,0
16.01.2020,20:00,242,216,0,0,0
16.01.2020,21:00,235,215,0,0,0
16.01.2020,22:00,224,216,0,0,0
16.01.2020,23:00,223,196,0,0,0
17.01.2020,00:00,214,221,0,0,0
17.01.2020,01:00,205,192,0,0,0
17.01.2020,02:00,160,147,0,0,0
17.01.2020,03:00,145,147,0,0,0
17.01.2020,04:00,163,156,0,0,0
17.01.2020,05:00,214,202,0,0,0
17.01.2020,06:00,227,224,0,0,0
17.01.2020,07:00,244,226,0,0,0
17.01.2020,08:00,242,225,0,0,0
17.01.2020,09:00,243,220,0,0,0
17.01.2020,10:00,243,204,0,0,0
17.01.2020,11:00,278,272,0,0,0
17.01.2020,12:00,197,202,0,0,0
17.01.2020,13:00,156,152,0,0,0
17.01.2020,14:00,178,188,0,0,0
17.01.2020,15:00,184,177,0,0,0
17.01.2020,16:00,186,165,0,0,0
17.01.2020,17:00,184,166,0,0,0
17.01.2020,18:00,186,168,0,0,0
17.01.2020,19:00,183,168,0,0,0
17.01.2020,20:00,185,167,0,0,0
17.01.2020,21:00,186,171,0,0,0
17.01.2020,22:00,184,162,0,0,0
17.01.2020,23:00,186,156,0,0,0
18.01.2020,00:00,185,145,0,0,0
18.01.2020,01:00,161,134,0,0,0
18.01.2020,02:00,147,127,0,0,0
18.01.2020,03:00,175,143,0,0,0
18.01.2020,04:00,196,148,0,0,0
18.01.2020,05:00,196,152,0,0,0
18.01.2020,06:00,194,177,0,0,0
18.01.2020,07:00,136,219,0,0,0
18.01.2020,08:00,127,213,0,0,0
