Datum,Uhrzeit,Generation_DE GKN II[MW]
10.01.2020,10:00,1306
10.01.2020,11:00,1308
10.01.2020,12:00,1313
10.01.2020,13:00,1312
10.01.2020,14:00,1310
10.01.2020,15:00,1308
10.01.2020,16:00,1309
10.01.2020,17:00,1308
10.01.2020,18:00,1309
10.01.2020,19:00,1308
10.01.2020,20:00,1308
10.01.2020,21:00,1309
10.01.2020,22:00,1309
10.01.2020,23:00,1309
11.01.2020,00:00,1306
11.01.2020,01:00,1308
11.01.2020,02:00,1307
11.01.2020,03:00,1308
11.01.2020,04:00,1309
11.01.2020,05:00,1310
11.01.2020,06:00,1310
11.01.2020,07:00,1310
11.01.2020,08:00,1309
11.01.2020,09:00,1310
11.01.2020,10:00,1308
11.01.2020,11:00,1309
11.01.2020,12:00,1309
11.01.2020,13:00,1310
11.01.2020,14:00,1310
11.01.2020,15:00,1310
11.01.2020,16:00,1310
11.01.2020,17:00,1310
11.01.2020,18:00,1309
11.01.2020,19:00,1308
11.01.2020,20:00,1309
11.01.2020,21:00,1309
11.01.2020,22:00,1309
11.01.2020,23:00,1309
12.01.2020,00:00,1310
12.01.2020,01:00,1310
12.01.2020,02:00,1310
12.01.2020,03:00,1310
12.01.2020,04:00,1309
12.01.2020,05:00,1310
12.01.2020,06:00,1310
12.01.2020,07:00,1311
12.01.2020,08:00,1314
12.01.2020,09:00,1313
12.01.2020,10:00,1312
12.01.2020,11:00,1315
12.01.2020,12:00,1315
12.01.2020,13:00,1314
12.01.2020,14:00,1313
12.01.2020,15:00,1310
12.01.2020,16:00,1306
12.01.2020,17:00,1306
12.01.2020,18:00,1307
12.01.2020,19:00,1307
12.01.2020,20:00,1306
12.01.2020,21:00,1306
12.01.2020,22:00,1306
12.01.2020,23:00,1304
13.01.2020,00:00,1307
13.01.2020,01:00,1307
13.01.2020,02:00,1307
13.01.2020,03:00,1307
13.01.2020,04:00,1308
13.01.2020,05:00,1308
13.01.2020,06:00,1308
13.01.2020,07:00,1308
13.01.2020,08:00,1308
13.01.2020,09:00,1310
13.01.2020,10:00,1310
13.01.2020,11:00,1311
13.01.2020,12:00,1310
13.01.2020,13:00,1310
13.01.2020,14:00,1311
13.01.2020,15:00,1309
13.01.2020,16:00,1309
13.01.2020,17:00,1307
13.01.2020,18:00,1307
13.01.2020,19:00,1307
13.01.2020,20:00,1311
13.01.2020,21:00,1311
13.01.2020,22:00,1310
13.01.2020,23:00,1309
14.01.2020,00:00,1313
14.01.2020,01:00,1313
14.01.2020,02:00,1313
14.01.2020,03:00,1314
14.01.2020,04:00,1314
14.01.2020,05:00,1314
14.01.2020,06:00,1313
14.01.2020,07:00,1312
14.01.2020,08:00,1309
14.01.2020,09:00,1309
14.01.2020,10:00,1310
14.01.2020,11:00,1311
14.01.2020,12:00,1311
14.01.2020,13:00,1309
14.01.2020,14:00,1308
14.01.2020,15:00,1309
14.01.2020,16:00,1310
14.01.2020,17:00,1309
14.01.2020,18:00,1310
14.01.2020,19:00,1311
14.01.2020,20:00,1311
14.01.2020,21:00,1312
14.01.2020,22:00,1312
14.01.2020,23:00,1312
15.01.2020,00:00,1311
15.01.2020,01:00,1312
15.01.2020,02:00,1311
15.01.2020,03:00,1311
15.01.2020,04:00,1311
15.01.2020,05:00,1311
15.01.2020,06:00,1311
15.01.2020,07:00,1309
15.01.2020,08:00,1308
15.01.2020,09:00,1307
15.01.2020,10:00,1307
15.01.2020,11:00,1307
15.01.2020,12:00,1305
15.01.2020,13:00,1306
15.01.2020,14:00,1307
15.01.2020,15:00,1305
15.01.2020,16:00,1305
