Datum,Uhrzeit,Generation_DE Block 3[MW],Generation_DE Block 4[MW],Generation_DE Block 5[MW]
07.01.2020,17:00,0,40,145
07.01.2020,18:00,0,42,141
07.01.2020,19:00,0,56,159
07.01.2020,20:00,0,55,158
07.01.2020,21:00,0,45,149
07.01.2020,22:00,0,43,148
07.01.2020,23:00,0,43,135
08.01.2020,00:00,0,37,126
08.01.2020,01:00,0,36,133
08.01.2020,02:00,0,41,138
08.01.2020,03:00,0,43,141
08.01.2020,04:00,0,43,137
08.01.2020,05:00,0,45,138
08.01.2020,06:00,0,48,126
08.01.2020,07:00,0,45,122
08.01.2020,08:00,0,44,125
08.01.2020,09:00,0,38,138
08.01.2020,10:00,0,40,142
08.01.2020,11:00,0,41,150
08.01.2020,12:00,0,41,156
08.01.2020,13:00,0,56,192
08.01.2020,14:00,0,38,192
08.01.2020,15:00,0,43,175
08.01.2020,16:00,0,44,141
08.01.2020,17:00,0,53,173
08.01.2020,18:00,0,69,200
08.01.2020,19:00,0,53,188
08.01.2020,20:00,0,62,195
08.01.2020,21:00,0,44,181
08.01.2020,22:00,0,56,188
08.01.2020,23:00,0,80,213
09.01.2020,00:00,0,80,211
09.01.2020,01:00,0,53,189
09.01.2020,02:00,0,58,188
09.01.2020,03:00,0,47,170
09.01.2020,04:00,0,45,165
09.01.2020,05:00,0,52,183
09.01.2020,06:00,0,46,171
09.01.2020,07:00,0,51,166
09.01.2020,08:00,0,46,138
09.01.2020,09:00,0,48,184
09.01.2020,10:00,0,40,186
09.01.2020,11:00,0,37,171
09.01.2020,12:00,0,47,166
09.01.2020,13:00,0,45,134
09.01.2020,14:00,0,48,154
09.01.2020,15:00,0,64,174
09.01.2020,16:00,0,58,194
09.01.2020,17:00,0,59,203
09.01.2020,18:00,0,59,207
09.01.2020,19:00,0,58,213
09.01.2020,20:00,0,63,197
09.01.2020,21:00,0,78,199
09.01.2020,22:00,0,59,192
09.01.2020,23:00,0,59,194
10.01.2020,00:00,0,57,208
10.01.2020,01:00,0,45,200
10.01.2020,02:00,0,43,183
10.01.2020,03:00,0,41,156
10.01.2020,04:00,0,43,150
10.01.2020,05:00,0,52,148
10.01.2020,06:00,0,40,150
10.01.2020,07:00,0,36,135
10.01.2020,08:00,0,47,167
10.01.2020,09:00,0,49,199
10.01.2020,10:00,0,46,172
10.01.2020,11:00,0,44,168
10.01.2020,12:00,0,50,164
10.01.2020,13:00,0,49,175
10.01.2020,14:00,0,41,170
10.01.2020,15:00,0,42,137
10.01.2020,16:00,0,40,127
10.01.2020,17:00,0,42,160
10.01.2020,18:00,0,38,175
10.01.2020,19:00,0,45,133
10.01.2020,20:00,0,51,138
10.01.2020,21:00,0,45,187
10.01.2020,22:00,0,40,195
10.01.2020,23:00,0,44,183
11.01.2020,00:00,0,41,182
11.01.2020,01:00,0,41,178
11.01.2020,02:00,0,36,150
11.01.2020,03:00,0,38,174
11.01.2020,04:00,0,47,164
11.01.2020,05:00,0,56,204
11.01.2020,06:00,0,54,205
11.01.2020,07:00,0,83,206
11.01.2020,08:00,0,76,203
11.01.2020,09:00,0,68,204
11.01.2020,10:00,0,59,209
11.01.2020,11:00,0,61,203
11.01.2020,12:00,0,63,210
11.01.2020,13:00,0,75,213
11.01.2020,14:00,0,64,222
11.01.2020,15:00,0,77,211
11.01.2020,16:00,0,69,199
11.01.2020,17:00,0,71,217
11.01.2020,18:00,0,88,224
11.01.2020,19:00,0,83,215
11.01.2020,20:00,0,60,217
11.01.2020,21:00,0,64,206
11.01.2020,22:00,0,39,188
11.01.2020,23:00,0,43,196
12.01.2020,00:00,0,78,216
12.01.2020,01:00,0,83,217
12.01.2020,02:00,0,78,211
12.01.2020,03:00,0,77,216
12.01.2020,04:00,0,66,210
12.01.2020,05:00,0,53,200
12.01.2020,06:00,0,54,202
12.01.2020,07:00,0,59,211
12.01.2020,08:00,0,59,219
12.01.2020,09:00,0,73,218
12.01.2020,10:00,0,80,216
12.01.2020,11:00,0,66,205
12.01.2020,12:00,0,65,213
12.01.2020,13:00,0,73,208
12.01.2020,14:00,0,55,185
12.01.2020,15:00,0,57,180
12.01.2020,16:00,0,52,180
12.01.2020,17:00,0,76,205
12.01.2020,18:00,0,69,212
12.01.2020,19:00,0,68,213
12.01.2020,20:00,0,74,201
12.01.2020,21:00,0,48,181
12.01.2020,22:00,0,42,192
12.01.2020,23:00,0,56,204
13.01.2020,00:00,0,75,212
13.01.2020,01:00,0,75,218
13.01.2020,02:00,0,84,218
13.01.2020,03:00,0,90,223
13.01.2020,04:00,0,88,224
13.01.2020,05:00,0,90,225
13.01.2020,06:00,0,83,225
13.01.2020,07:00,0,83,222
13.01.2020,08:00,0,69,213
13.01.2020,09:00,0,54,174
13.01.2020,10:00,0,55,180
13.01.2020,11:00,0,69,193
13.01.2020,12:00,0,87,213
13.01.2020,13:00,0,79,206
13.01.2020,14:00,0,77,193
13.01.2020,15:00,0,49,188
13.01.2020,16:00,0,49,191
13.01.2020,17:00,0,39,198
13.01.2020,18:00,0,65,204
13.01.2020,19:00,0,86,210
13.01.2020,20:00,0,79,204
13.01.2020,21:00,0,73,210
13.01.2020,22:00,0,67,204
13.01.2020,23:00,0,80,209
14.01.2020,00:00,0,85,219
14.01.2020,01:00,0,87,213
14.01.2020,02:00,0,82,215
14.01.2020,03:00,0,87,219
14.01.2020,04:00,0,83,217
14.01.2020,05:00,0,82,218
14.01.2020,06:00,0,70,207
14.01.2020,07:00,0,46,195
14.01.2020,08:00,0,79,210
14.01.2020,09:00,0,83,210
14.01.2020,10:00,0,86,211
14.01.2020,11:00,0,79,214
14.01.2020,12:00,0,79,211
14.01.2020,13:00,0,84,211
14.01.2020,14:00,0,86,219
14.01.2020,15:00,0,81,220
14.01.2020,16:00,0,82,217
14.01.2020,17:00,0,81,218
14.01.2020,18:00,0,70,204
14.01.2020,19:00,0,56,203
14.01.2020,20:00,0,45,189
14.01.2020,21:00,0,39,161
14.01.2020,22:00,0,42,155
14.01.2020,23:00,0,45,188
15.01.2020,00:00,0,48,202
15.01.2020,01:00,0,50,146
15.01.2020,02:00,0,46,133
15.01.2020,03:00,0,50,131
15.01.2020,04:00,0,45,128
15.01.2020,05:00,0,45,126
15.01.2020,06:00,0,43,137
15.01.2020,07:00,0,40,141
15.01.2020,08:00,0,39,139
15.01.2020,09:00,0,41,160
15.01.2020,10:00,0,51,141
15.01.2020,11:00,0,51,143
15.01.2020,12:00,0,51,140
15.01.2020,13:00,0,48,143
15.01.2020,14:00,0,41,144
15.01.2020,15:00,0,43,139
15.01.2020,16:00,0,47,153
15.01.2020,17:00,0,47,162
15.01.2020,18:00,0,40,152
15.01.2020,19:00,0,37,137
15.01.2020,20:00,0,46,157
15.01.2020,21:00,0,41,147
15.01.2020,22:00,0,44,147
15.01.2020,23:00,0,45,137
16.01.2020,00:00,0,38,142
16.01.2020,01:00,0,40,135
16.01.2020,02:00,0,40,138
16.01.2020,03:00,0,43,155
16.01.2020,04:00,0,44,141
16.01.2020,05:00,0,40,120
16.01.2020,06:00,0,42,118
16.01.2020,07:00,0,56,125
16.01.2020,08:00,0,55,119
16.01.2020,09:00,0,56,134
16.01.2020,10:00,0,52,135
16.01.2020,11:00,0,50,124
16.01.2020,12:00,0,48,124
16.01.2020,13:00,0,44,127
16.01.2020,14:00,0,41,141
16.01.2020,15:00,0,63,187
16.01.2020,16:00,0,68,201
16.01.2020,17:00,0,65,217
16.01.2020,18:00,0,50,195
16.01.2020,19:00,0,56,194
16.01.2020,20:00,0,57,177
16.01.2020,21:00,0,53,183
16.01.2020,22:00,0,46,170
16.01.2020,23:00,0,70,204
17.01.2020,00:00,0,64,218
17.01.2020,01:00,0,51,175
17.01.2020,02:00,0,47,191
17.01.2020,03:00,0,49,183
17.01.2020,04:00,0,54,179
17.01.2020,05:00,0,48,184
17.01.2020,06:00,0,58,209
17.01.2020,07:00,0,74,212
17.01.2020,08:00,0,75,214
17.01.2020,09:00,0,75,216
17.01.2020,10:00,0,62,215
17.01.2020,11:00,0,79,215
17.01.2020,12:00,0,79,217
17.01.2020,13:00,0,61,216
17.01.2020,14:00,0,64,210
17.01.2020,15:00,0,67,216
17.01.2020,16:00,0,68,217
17.01.2020,17:00,0,66,204
17.01.2020,18:00,0,61,197
17.01.2020,19:00,0,65,202
17.01.2020,20:00,0,41,173
17.01.2020,21:00,0,43,149
17.01.2020,22:00,0,45,149
17.01.2020,23:00,0,47,150
18.01.2020,00:00,0,42,158
