Datum,Uhrzeit,Generation_DE KKI 2[MW]
10.01.2020,10:00,1419
10.01.2020,11:00,1409
10.01.2020,12:00,1412
10.01.2020,13:00,1410
10.01.2020,14:00,1410
10.01.2020,15:00,1393
10.01.2020,16:00,1406
10.01.2020,17:00,1406
10.01.2020,18:00,1407
10.01.2020,19:00,1408
10.01.2020,20:00,1402
10.01.2020,21:00,1409
10.01.2020,22:00,1409
10.01.2020,23:00,1408
11.01.2020,00:00,1407
11.01.2020,01:00,1408
11.01.2020,02:00,1407
11.01.2020,03:00,1390
11.01.2020,04:00,1403
11.01.2020,05:00,1371
11.01.2020,06:00,1408
11.01.2020,07:00,1408
11.01.2020,08:00,1415
11.01.2020,09:00,1416
11.01.2020,10:00,1392
11.01.2020,11:00,1356
11.01.2020,12:00,1357
11.01.2020,13:00,1335
11.01.2020,14:00,1419
11.01.2020,15:00,1415
11.01.2020,16:00,1418
11.01.2020,17:00,1421
11.01.2020,18:00,1418
11.01.2020,19:00,1419
11.01.2020,20:00,1422
11.01.2020,21:00,1421
11.01.2020,22:00,1424
11.01.2020,23:00,1412
12.01.2020,00:00,1362
12.01.2020,01:00,1328
12.01.2020,02:00,1326
12.01.2020,03:00,1323
12.01.2020,04:00,1330
12.01.2020,05:00,1331
12.01.2020,06:00,1348
12.01.2020,07:00,1392
12.01.2020,08:00,1355
12.01.2020,09:00,1369
12.01.2020,10:00,1329
12.01.2020,11:00,1368
12.01.2020,12:00,1329
12.01.2020,13:00,1349
12.01.2020,14:00,1407
12.01.2020,15:00,1417
12.01.2020,16:00,1426
12.01.2020,17:00,1425
12.01.2020,18:00,1425
12.01.2020,19:00,1421
12.01.2020,20:00,1332
12.01.2020,21:00,1279
12.01.2020,22:00,1354
12.01.2020,23:00,1416
13.01.2020,00:00,1378
13.01.2020,01:00,1425
13.01.2020,02:00,1425
13.01.2020,03:00,1424
13.01.2020,04:00,1424
13.01.2020,05:00,1424
13.01.2020,06:00,1423
13.01.2020,07:00,1423
13.01.2020,08:00,1423
13.01.2020,09:00,1423
13.01.2020,10:00,1423
13.01.2020,11:00,1422
13.01.2020,12:00,1422
13.01.2020,13:00,1422
13.01.2020,14:00,1420
13.01.2020,15:00,1419
13.01.2020,16:00,1418
13.01.2020,17:00,1419
13.01.2020,18:00,1419
13.01.2020,19:00,1419
13.01.2020,20:00,1418
13.01.2020,21:00,1398
13.01.2020,22:00,1420
13.01.2020,23:00,1420
14.01.2020,00:00,1421
14.01.2020,01:00,1397
14.01.2020,02:00,1314
14.01.2020,03:00,1190
14.01.2020,04:00,1365
14.01.2020,05:00,1377
14.01.2020,06:00,1392
14.01.2020,07:00,1425
14.01.2020,08:00,1425
14.01.2020,09:00,1424
14.01.2020,10:00,1392
14.01.2020,11:00,1374
14.01.2020,12:00,1332
14.01.2020,13:00,1370
14.01.2020,14:00,1409
14.01.2020,15:00,1417
14.01.2020,16:00,1418
14.01.2020,17:00,1419
14.01.2020,18:00,1420
14.01.2020,19:00,1421
14.01.2020,20:00,1422
14.01.2020,21:00,1422
14.01.2020,22:00,1422
14.01.2020,23:00,1345
15.01.2020,00:00,1302
15.01.2020,01:00,1350
15.01.2020,02:00,1318
15.01.2020,03:00,1334
15.01.2020,04:00,1342
15.01.2020,05:00,1332
15.01.2020,06:00,1425
15.01.2020,07:00,1426
15.01.2020,08:00,1426
15.01.2020,09:00,1428
15.01.2020,10:00,1428
15.01.2020,11:00,1427
15.01.2020,12:00,1426
15.01.2020,13:00,1425
15.01.2020,14:00,1425
15.01.2020,15:00,1423
15.01.2020,16:00,1423
15.01.2020,17:00,1422
15.01.2020,18:00,1424
15.01.2020,19:00,1424
15.01.2020,20:00,1424
15.01.2020,21:00,1372
15.01.2020,22:00,1424
15.01.2020,23:00,1425
16.01.2020,00:00,1425
16.01.2020,01:00,1424
16.01.2020,02:00,1425
16.01.2020,03:00,1425
16.01.2020,04:00,1423
16.01.2020,05:00,1408
16.01.2020,06:00,1418
16.01.2020,07:00,1423
16.01.2020,08:00,1423
16.01.2020,09:00,1424
16.01.2020,10:00,1423
16.01.2020,11:00,1411
16.01.2020,12:00,1400
16.01.2020,13:00,1421
16.01.2020,14:00,1414
16.01.2020,15:00,1413
16.01.2020,16:00,1407
16.01.2020,17:00,1322
16.01.2020,18:00,1376
16.01.2020,19:00,1414
16.01.2020,20:00,1414
16.01.2020,21:00,1413
16.01.2020,22:00,1415
16.01.2020,23:00,1415
17.01.2020,00:00,1370
17.01.2020,01:00,1374
17.01.2020,02:00,1396
17.01.2020,03:00,1418
17.01.2020,04:00,1419
17.01.2020,05:00,1415
17.01.2020,06:00,1420
17.01.2020,07:00,1420
17.01.2020,08:00,1402
17.01.2020,09:00,1224
17.01.2020,10:00,1424
17.01.2020,11:00,1426
17.01.2020,12:00,1423
17.01.2020,13:00,1421
17.01.2020,14:00,1420
17.01.2020,15:00,1416
17.01.2020,16:00,1416
17.01.2020,17:00,1416
17.01.2020,18:00,1418
17.01.2020,19:00,1385
17.01.2020,20:00,1365
17.01.2020,21:00,1360
17.01.2020,22:00,1370
17.01.2020,23:00,1369
18.01.2020,00:00,1347
18.01.2020,01:00,1318
18.01.2020,02:00,1341
18.01.2020,03:00,1389
18.01.2020,04:00,1379
18.01.2020,05:00,1388
18.01.2020,06:00,1414
18.01.2020,07:00,1415
18.01.2020,08:00,1416
18.01.2020,09:00,1419
18.01.2020,10:00,1418
18.01.2020,11:00,1418
18.01.2020,12:00,1418
18.01.2020,13:00,1418
18.01.2020,14:00,1419
18.01.2020,15:00,1418
18.01.2020,16:00,1419
18.01.2020,17:00,1418
18.01.2020,18:00,1418
18.01.2020,19:00,1407
18.01.2020,20:00,1414
18.01.2020,21:00,1397
18.01.2020,22:00,1416
18.01.2020,23:00,1371
19.01.2020,00:00,1363
19.01.2020,01:00,1358
19.01.2020,02:00,1359
19.01.2020,03:00,1359
19.01.2020,04:00,1410
19.01.2020,05:00,1420
19.01.2020,06:00,1423
19.01.2020,07:00,1423
19.01.2020,08:00,1424
19.01.2020,09:00,1424
19.01.2020,10:00,1423
19.01.2020,11:00,1424
19.01.2020,12:00,1423
19.01.2020,13:00,1421
19.01.2020,14:00,1423
19.01.2020,15:00,1425
19.01.2020,16:00,1424
19.01.2020,17:00,1424
19.01.2020,18:00,1424
19.01.2020,19:00,1414
19.01.2020,20:00,1382
19.01.2020,21:00,1402
19.01.2020,22:00,1402
19.01.2020,23:00,1393
20.01.2020,00:00,1394
20.01.2020,01:00,1394
20.01.2020,02:00,1394
20.01.2020,03:00,1400
20.01.2020,04:00,1422
20.01.2020,05:00,1421
20.01.2020,06:00,1421
20.01.2020,07:00,1421
20.01.2020,08:00,1425
20.01.2020,09:00,1426
20.01.2020,10:00,1425
20.01.2020,11:00,1426
20.01.2020,12:00,1424
20.01.2020,13:00,1424
20.01.2020,14:00,1425
20.01.2020,15:00,1423
20.01.2020,16:00,1419
20.01.2020,17:00,1420
20.01.2020,18:00,1420
20.01.2020,19:00,1420
20.01.2020,20:00,1422
20.01.2020,21:00,1424
20.01.2020,22:00,1424
20.01.2020,23:00,1425
21.01.2020,00:00,1425
21.01.2020,01:00,1425
21.01.2020,02:00,1425
21.01.2020,03:00,1427
21.01.2020,04:00,1428
21.01.2020,05:00,1428
21.01.2020,06:00,1428
21.01.2020,07:00,1428
21.01.2020,08:00,1431
21.01.2020,09:00,1433
21.01.2020,10:00,1433
21.01.2020,11:00,1432
