Datum,Uhrzeit,Generation_DE Klingenberg[MW]
11.01.2020,03:00,86
11.01.2020,04:00,98
11.01.2020,05:00,114
11.01.2020,06:00,127
11.01.2020,07:00,128
11.01.2020,08:00,128
11.01.2020,09:00,127
11.01.2020,10:00,127
11.01.2020,11:00,127
11.01.2020,12:00,127
11.01.2020,13:00,127
11.01.2020,14:00,127
11.01.2020,15:00,128
11.01.2020,16:00,128
11.01.2020,17:00,129
11.01.2020,18:00,128
11.01.2020,19:00,128
11.01.2020,20:00,128
11.01.2020,21:00,128
11.01.2020,22:00,129
11.01.2020,23:00,137
12.01.2020,00:00,137
12.01.2020,01:00,137
12.01.2020,02:00,137
12.01.2020,03:00,137
12.01.2020,04:00,137
12.01.2020,05:00,137
12.01.2020,06:00,137
12.01.2020,07:00,137
12.01.2020,08:00,137
12.01.2020,09:00,137
12.01.2020,10:00,137
12.01.2020,11:00,137
12.01.2020,12:00,137
12.01.2020,13:00,137
12.01.2020,14:00,136
12.01.2020,15:00,136
12.01.2020,16:00,136
12.01.2020,17:00,135
12.01.2020,18:00,135
12.01.2020,19:00,136
12.01.2020,20:00,136
12.01.2020,21:00,136
12.01.2020,22:00,136
12.01.2020,23:00,137
13.01.2020,00:00,138
13.01.2020,01:00,137
13.01.2020,02:00,136
13.01.2020,03:00,136
13.01.2020,04:00,137
13.01.2020,05:00,137
13.01.2020,06:00,137
13.01.2020,07:00,137
13.01.2020,08:00,137
13.01.2020,09:00,137
13.01.2020,10:00,137
13.01.2020,11:00,137
13.01.2020,12:00,137
13.01.2020,13:00,137
13.01.2020,14:00,138
13.01.2020,15:00,138
13.01.2020,16:00,138
13.01.2020,17:00,138
13.01.2020,18:00,138
13.01.2020,19:00,138
13.01.2020,20:00,138
13.01.2020,21:00,138
13.01.2020,22:00,138
13.01.2020,23:00,138
14.01.2020,00:00,138
14.01.2020,01:00,138
14.01.2020,02:00,138
14.01.2020,03:00,138
14.01.2020,04:00,138
14.01.2020,05:00,138
14.01.2020,06:00,138
14.01.2020,07:00,138
14.01.2020,08:00,138
14.01.2020,09:00,138
14.01.2020,10:00,138
14.01.2020,11:00,132
14.01.2020,12:00,115
14.01.2020,13:00,115
14.01.2020,14:00,115
14.01.2020,15:00,115
14.01.2020,16:00,115
14.01.2020,17:00,113
14.01.2020,18:00,113
14.01.2020,19:00,113
14.01.2020,20:00,113
14.01.2020,21:00,114
14.01.2020,22:00,100
14.01.2020,23:00,90
15.01.2020,00:00,87
15.01.2020,01:00,86
15.01.2020,02:00,86
15.01.2020,03:00,87
15.01.2020,04:00,95
15.01.2020,05:00,103
15.01.2020,06:00,119
15.01.2020,07:00,111
15.01.2020,08:00,95
15.01.2020,09:00,95
15.01.2020,10:00,95
15.01.2020,11:00,95
15.01.2020,12:00,94
15.01.2020,13:00,90
15.01.2020,14:00,90
15.01.2020,15:00,91
15.01.2020,16:00,91
15.01.2020,17:00,101
15.01.2020,18:00,123
15.01.2020,19:00,123
15.01.2020,20:00,123
15.01.2020,21:00,123
15.01.2020,22:00,119
15.01.2020,23:00,104
16.01.2020,00:00,93
16.01.2020,01:00,87
16.01.2020,02:00,86
16.01.2020,03:00,86
16.01.2020,04:00,87
16.01.2020,05:00,97
16.01.2020,06:00,108
16.01.2020,07:00,108
16.01.2020,08:00,108
16.01.2020,09:00,108
16.01.2020,10:00,109
16.01.2020,11:00,92
16.01.2020,12:00,91
16.01.2020,13:00,89
16.01.2020,14:00,81
16.01.2020,15:00,81
16.01.2020,16:00,88
16.01.2020,17:00,118
16.01.2020,18:00,136
16.01.2020,19:00,137
16.01.2020,20:00,137
16.01.2020,21:00,129
16.01.2020,22:00,127
16.01.2020,23:00,123
17.01.2020,00:00,111
17.01.2020,01:00,110
17.01.2020,02:00,110
17.01.2020,03:00,110
17.01.2020,04:00,110
17.01.2020,05:00,110
17.01.2020,06:00,110
17.01.2020,07:00,109
17.01.2020,08:00,109
17.01.2020,09:00,109
17.01.2020,10:00,110
17.01.2020,11:00,115
17.01.2020,12:00,113
17.01.2020,13:00,105
17.01.2020,14:00,100
17.01.2020,15:00,82
17.01.2020,16:00,89
17.01.2020,17:00,109
17.01.2020,18:00,111
17.01.2020,19:00,120
17.01.2020,20:00,126
17.01.2020,21:00,127
17.01.2020,22:00,121
17.01.2020,23:00,117
18.01.2020,00:00,103
18.01.2020,01:00,100
18.01.2020,02:00,93
18.01.2020,03:00,91
18.01.2020,04:00,90
18.01.2020,05:00,105
18.01.2020,06:00,109
18.01.2020,07:00,109
18.01.2020,08:00,108
18.01.2020,09:00,109
18.01.2020,10:00,110
18.01.2020,11:00,123
18.01.2020,12:00,122
18.01.2020,13:00,105
18.01.2020,14:00,83
18.01.2020,15:00,102
18.01.2020,16:00,123
18.01.2020,17:00,134
18.01.2020,18:00,138
18.01.2020,19:00,137
18.01.2020,20:00,122
18.01.2020,21:00,123
18.01.2020,22:00,123
18.01.2020,23:00,123
19.01.2020,00:00,106
19.01.2020,01:00,100
19.01.2020,02:00,100
19.01.2020,03:00,101
19.01.2020,04:00,100
19.01.2020,05:00,100
19.01.2020,06:00,100
19.01.2020,07:00,108
19.01.2020,08:00,118
19.01.2020,09:00,131
19.01.2020,10:00,132
19.01.2020,11:00,132
19.01.2020,12:00,133
19.01.2020,13:00,132
19.01.2020,14:00,132
19.01.2020,15:00,132
19.01.2020,16:00,132
19.01.2020,17:00,132
19.01.2020,18:00,132
19.01.2020,19:00,132
19.01.2020,20:00,132
19.01.2020,21:00,115
19.01.2020,22:00,114
19.01.2020,23:00,107
20.01.2020,00:00,105
20.01.2020,01:00,105
20.01.2020,02:00,105
20.01.2020,03:00,105
20.01.2020,04:00,106
20.01.2020,05:00,132
20.01.2020,06:00,132
20.01.2020,07:00,132
20.01.2020,08:00,132
20.01.2020,09:00,132
20.01.2020,10:00,132
20.01.2020,11:00,132
20.01.2020,12:00,132
20.01.2020,13:00,132
20.01.2020,14:00,132
20.01.2020,15:00,132
20.01.2020,16:00,132
20.01.2020,17:00,132
20.01.2020,18:00,132
20.01.2020,19:00,132
20.01.2020,20:00,132
20.01.2020,21:00,132
20.01.2020,22:00,132
20.01.2020,23:00,133
21.01.2020,00:00,133
21.01.2020,01:00,125
21.01.2020,02:00,133
21.01.2020,03:00,130
21.01.2020,04:00,132
21.01.2020,05:00,132
21.01.2020,06:00,132
21.01.2020,07:00,132
21.01.2020,08:00,132
21.01.2020,09:00,132
21.01.2020,10:00,132
21.01.2020,11:00,132
21.01.2020,12:00,132
21.01.2020,13:00,132
21.01.2020,14:00,126
21.01.2020,15:00,114
21.01.2020,16:00,131
21.01.2020,17:00,132
21.01.2020,18:00,132
21.01.2020,19:00,132
21.01.2020,20:00,132
21.01.2020,21:00,132
