Datum,Uhrzeit,Generation_DE GT 3[MW],Generation_DE Block 4[MW],Generation_DE Block 3[MW]
07.01.2020,17:00,0,172,0
07.01.2020,18:00,0,168,0
07.01.2020,19:00,0,142,0
07.01.2020,20:00,0,138,0
07.01.2020,21:00,0,119,0
07.01.2020,22:00,0,115,0
07.01.2020,23:00,0,0,0
08.01.2020,00:00,0,160,0
08.01.2020,01:00,0,165,0
08.01.2020,02:00,0,168,0
08.01.2020,03:00,0,173,0
08.01.2020,04:00,0,166,0
08.01.2020,05:00,0,115,0
08.01.2020,06:00,0,103,0
08.01.2020,07:00,0,85,0
08.01.2020,08:00,0,79,0
08.01.2020,09:00,0,75,0
08.01.2020,10:00,0,68,0
08.01.2020,11:00,0,68,0
08.01.2020,12:00,0,69,0
08.01.2020,13:00,0,82,0
08.01.2020,14:00,0,0,0
08.01.2020,15:00,0,0,0
08.01.2020,16:00,0,0,0
08.01.2020,17:00,0,0,0
08.01.2020,18:00,0,176,0
08.01.2020,19:00,0,169,0
08.01.2020,20:00,0,172,0
08.01.2020,21:00,0,175,0
08.01.2020,22:00,0,153,0
08.01.2020,23:00,0,0,0
09.01.2020,00:00,0,122,0
09.01.2020,01:00,0,120,0
09.01.2020,02:00,0,138,0
09.01.2020,03:00,0,154,0
09.01.2020,04:00,0,171,0
09.01.2020,05:00,0,171,0
09.01.2020,06:00,0,138,0
09.01.2020,07:00,0,162,0
09.01.2020,08:00,0,165,0
09.01.2020,09:00,0,160,0
09.01.2020,10:00,0,138,0
09.01.2020,11:00,0,117,0
09.01.2020,12:00,0,106,0
09.01.2020,13:00,0,103,0
09.01.2020,14:00,0,113,0
09.01.2020,15:00,0,95,0
09.01.2020,16:00,0,93,0
09.01.2020,17:00,0,116,0
09.01.2020,18:00,0,122,0
09.01.2020,19:00,0,121,0
09.01.2020,20:00,0,110,0
09.01.2020,21:00,0,90,0
09.01.2020,22:00,0,84,0
09.01.2020,23:00,0,0,0
10.01.2020,00:00,0,0,0
10.01.2020,01:00,0,107,0
10.01.2020,02:00,0,125,0
10.01.2020,03:00,0,133,0
10.01.2020,04:00,0,142,0
10.01.2020,05:00,0,118,0
10.01.2020,06:00,0,116,0
10.01.2020,07:00,0,119,0
10.01.2020,08:00,0,122,0
10.01.2020,09:00,0,126,0
10.01.2020,10:00,0,138,0
10.01.2020,11:00,0,137,0
10.01.2020,12:00,0,132,0
10.01.2020,13:00,0,135,0
10.01.2020,14:00,0,148,0
10.01.2020,15:00,0,135,0
10.01.2020,16:00,0,127,0
10.01.2020,17:00,0,128,0
10.01.2020,18:00,0,125,0
10.01.2020,19:00,0,119,0
10.01.2020,20:00,0,129,0
10.01.2020,21:00,0,107,0
10.01.2020,22:00,0,111,0
10.01.2020,23:00,0,0,0
11.01.2020,00:00,0,0,0
11.01.2020,01:00,0,124,0
11.01.2020,02:00,0,124,0
11.01.2020,03:00,0,112,0
11.01.2020,04:00,0,110,0
11.01.2020,05:00,0,117,0
11.01.2020,06:00,0,110,0
11.01.2020,07:00,0,119,0
11.01.2020,08:00,0,121,0
11.01.2020,09:00,0,111,0
11.01.2020,10:00,0,101,0
11.01.2020,11:00,0,107,0
11.01.2020,12:00,0,124,0
11.01.2020,13:00,0,130,0
11.01.2020,14:00,0,123,0
11.01.2020,15:00,0,107,0
11.01.2020,16:00,0,136,0
11.01.2020,17:00,0,132,0
11.01.2020,18:00,0,144,0
11.01.2020,19:00,0,129,0
11.01.2020,20:00,0,130,0
11.01.2020,21:00,0,129,0
11.01.2020,22:00,0,131,0
11.01.2020,23:00,0,0,0
12.01.2020,00:00,0,0,0
12.01.2020,01:00,0,110,0
12.01.2020,02:00,0,119,0
12.01.2020,03:00,0,110,0
12.01.2020,04:00,0,120,0
12.01.2020,05:00,0,121,0
12.01.2020,06:00,0,120,0
12.01.2020,07:00,0,121,0
12.01.2020,08:00,0,121,0
12.01.2020,09:00,0,123,0
12.01.2020,10:00,0,126,0
12.01.2020,11:00,0,93,0
12.01.2020,12:00,0,99,0
12.01.2020,13:00,0,92,0
12.01.2020,14:00,0,117,0
12.01.2020,15:00,0,125,0
12.01.2020,16:00,0,125,0
12.01.2020,17:00,0,118,0
12.01.2020,18:00,0,118,0
12.01.2020,19:00,0,136,0
12.01.2020,20:00,0,129,0
12.01.2020,21:00,0,111,0
12.01.2020,22:00,0,137,0
12.01.2020,23:00,0,0,0
13.01.2020,00:00,0,0,0
13.01.2020,01:00,0,134,0
13.01.2020,02:00,0,129,0
13.01.2020,03:00,0,102,0
13.01.2020,04:00,0,106,0
13.01.2020,05:00,0,108,0
13.01.2020,06:00,0,107,0
13.01.2020,07:00,0,114,0
13.01.2020,08:00,0,116,0
13.01.2020,09:00,0,127,0
13.01.2020,10:00,0,148,0
13.01.2020,11:00,0,148,0
13.01.2020,12:00,0,133,0
13.01.2020,13:00,0,124,0
13.01.2020,14:00,0,100,0
13.01.2020,15:00,0,101,0
13.01.2020,16:00,0,127,0
13.01.2020,17:00,0,142,0
13.01.2020,18:00,0,129,0
13.01.2020,19:00,0,140,0
13.01.2020,20:00,0,139,0
13.01.2020,21:00,0,143,0
13.01.2020,22:00,0,148,0
13.01.2020,23:00,0,0,0
14.01.2020,00:00,0,0,0
14.01.2020,01:00,0,138,0
14.01.2020,02:00,0,136,0
14.01.2020,03:00,0,129,0
14.01.2020,04:00,0,120,0
14.01.2020,05:00,0,124,0
14.01.2020,06:00,0,123,0
14.01.2020,07:00,0,110,0
14.01.2020,08:00,0,101,0
14.01.2020,09:00,0,123,0
14.01.2020,10:00,0,98,0
14.01.2020,11:00,0,87,0
14.01.2020,12:00,0,91,0
14.01.2020,13:00,0,130,0
14.01.2020,14:00,0,144,0
14.01.2020,15:00,0,142,0
14.01.2020,16:00,0,128,0
14.01.2020,17:00,0,117,0
14.01.2020,18:00,0,122,0
14.01.2020,19:00,0,139,0
14.01.2020,20:00,0,133,0
14.01.2020,21:00,0,143,0
14.01.2020,22:00,0,119,0
14.01.2020,23:00,0,0,0
15.01.2020,00:00,0,0,0
15.01.2020,01:00,0,140,0
15.01.2020,02:00,0,123,0
15.01.2020,03:00,0,128,0
15.01.2020,04:00,0,67,0
15.01.2020,05:00,0,55,0
15.01.2020,06:00,0,55,0
15.01.2020,07:00,0,68,0
15.01.2020,08:00,0,104,0
15.01.2020,09:00,0,139,0
15.01.2020,10:00,0,148,0
15.01.2020,11:00,0,144,0
15.01.2020,12:00,0,142,0
15.01.2020,13:00,0,142,0
15.01.2020,14:00,0,142,0
15.01.2020,15:00,0,139,0
15.01.2020,16:00,0,131,0
15.01.2020,17:00,0,129,0
15.01.2020,18:00,0,128,0
15.01.2020,19:00,0,128,0
15.01.2020,20:00,0,128,0
15.01.2020,21:00,0,112,0
15.01.2020,22:00,0,96,0
15.01.2020,23:00,0,64,0
16.01.2020,00:00,0,56,0
16.01.2020,01:00,0,56,0
16.01.2020,02:00,0,57,0
16.01.2020,03:00,0,57,0
16.01.2020,04:00,0,91,0
16.01.2020,05:00,0,98,0
16.01.2020,06:00,0,88,0
16.01.2020,07:00,0,108,0
16.01.2020,08:00,0,110,0
16.01.2020,09:00,0,117,0
16.01.2020,10:00,0,118,0
16.01.2020,11:00,0,103,0
16.01.2020,12:00,0,104,0
16.01.2020,13:00,0,115,0
16.01.2020,14:00,0,105,0
16.01.2020,15:00,0,58,0
16.01.2020,16:00,0,56,0
16.01.2020,17:00,0,56,0
16.01.2020,18:00,0,57,0
16.01.2020,19:00,0,112,0
16.01.2020,20:00,0,118,0
16.01.2020,21:00,0,115,0
16.01.2020,22:00,0,113,0
16.01.2020,23:00,0,0,0
17.01.2020,00:00,0,101,0
17.01.2020,01:00,0,118,0
17.01.2020,02:00,0,130,0
17.01.2020,03:00,0,139,0
17.01.2020,04:00,0,126,0
17.01.2020,05:00,0,121,0
17.01.2020,06:00,0,110,0
17.01.2020,07:00,0,124,0
17.01.2020,08:00,0,143,0
17.01.2020,09:00,0,153,0
17.01.2020,10:00,0,155,0
17.01.2020,11:00,0,137,0
17.01.2020,12:00,0,136,0
17.01.2020,13:00,0,114,0
17.01.2020,14:00,0,101,0
17.01.2020,15:00,0,104,0
17.01.2020,16:00,0,58,0
17.01.2020,17:00,0,57,0
17.01.2020,18:00,0,60,0
17.01.2020,19:00,0,89,0
17.01.2020,20:00,0,110,0
17.01.2020,21:00,0,110,0
17.01.2020,22:00,0,111,0
17.01.2020,23:00,0,0,0
18.01.2020,00:00,0,110,0
18.01.2020,01:00,0,98,0
18.01.2020,02:00,0,118,0
18.01.2020,03:00,0,114,0
18.01.2020,04:00,0,106,0
18.01.2020,05:00,0,121,0
18.01.2020,06:00,0,110,0
18.01.2020,07:00,0,119,0
18.01.2020,08:00,0,101,0
18.01.2020,09:00,0,110,0
18.01.2020,10:00,0,99,0
18.01.2020,11:00,0,47,0
18.01.2020,12:00,0,42,0
18.01.2020,13:00,0,42,0
18.01.2020,14:00,0,50,0
18.01.2020,15:00,0,108,0
18.01.2020,16:00,0,117,0
18.01.2020,17:00,0,106,0
18.01.2020,18:00,0,110,0
18.01.2020,19:00,0,123,0
18.01.2020,20:00,0,126,0
18.01.2020,21:00,0,89,0
18.01.2020,22:00,0,96,0
18.01.2020,23:00,0,0,0
19.01.2020,00:00,0,87,0
19.01.2020,01:00,0,80,0
19.01.2020,02:00,0,82,0
19.01.2020,03:00,0,107,0
19.01.2020,04:00,0,114,0
19.01.2020,05:00,0,108,0
19.01.2020,06:00,0,115,0
19.01.2020,07:00,0,119,0
19.01.2020,08:00,0,129,0
19.01.2020,09:00,0,130,0
19.01.2020,10:00,0,129,0
19.01.2020,11:00,0,142,0
19.01.2020,12:00,0,117,0
19.01.2020,13:00,0,126,0
19.01.2020,14:00,0,120,0
19.01.2020,15:00,0,103,0
19.01.2020,16:00,0,117,0
19.01.2020,17:00,0,115,0
19.01.2020,18:00,0,100,0
19.01.2020,19:00,0,104,0
19.01.2020,20:00,0,111,0
19.01.2020,21:00,0,110,0
19.01.2020,22:00,0,113,0
19.01.2020,23:00,0,0,0
20.01.2020,00:00,0,123,0
20.01.2020,01:00,0,111,0
20.01.2020,02:00,0,105,0
20.01.2020,03:00,0,74,0
20.01.2020,04:00,0,72,0
20.01.2020,05:00,0,69,0
20.01.2020,06:00,0,69,0
20.01.2020,07:00,0,70,0
20.01.2020,08:00,0,71,0
20.01.2020,09:00,0,80,0
20.01.2020,10:00,0,102,0
20.01.2020,11:00,0,98,0
20.01.2020,12:00,0,98,0
20.01.2020,13:00,0,98,0
20.01.2020,14:00,0,98,0
20.01.2020,15:00,0,107,0
20.01.2020,16:00,0,113,0
20.01.2020,17:00,0,114,0
20.01.2020,18:00,0,116,0
20.01.2020,19:00,0,117,0
20.01.2020,20:00,0,114,0
20.01.2020,21:00,0,108,0
20.01.2020,22:00,0,100,0
20.01.2020,23:00,0,0,0
21.01.2020,00:00,0,110,0
21.01.2020,01:00,0,108,0
21.01.2020,02:00,0,94,0
21.01.2020,03:00,0,61,0
21.01.2020,04:00,0,59,0
21.01.2020,05:00,0,59,0
21.01.2020,06:00,0,60,0
21.01.2020,07:00,0,60,0
21.01.2020,08:00,0,60,0
21.01.2020,09:00,0,71,0
21.01.2020,10:00,0,71,0
21.01.2020,11:00,0,60,0
21.01.2020,12:00,0,61,0
21.01.2020,13:00,0,61,0
21.01.2020,14:00,0,61,0
21.01.2020,15:00,0,61,0
21.01.2020,16:00,0,60,0
21.01.2020,17:00,0,63,0
21.01.2020,18:00,0,90,0
21.01.2020,19:00,0,100,0
21.01.2020,20:00,0,33,0
21.01.2020,21:00,0,0,0
21.01.2020,22:00,0,13,0
21.01.2020,23:00,0,0,0
22.01.2020,00:00,0,0,0
22.01.2020,01:00,0,63,0
22.01.2020,02:00,0,90,0
22.01.2020,03:00,0,96,0
