Datum,Uhrzeit,Generation_DE PSS B[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS F[MW],Generation_DE PSS E[MW],Generation_DE PSS A[MW]
05.01.2020,21:00,0,0,0,1,0,1
05.01.2020,22:00,0,0,0,0,0,0
05.01.2020,23:00,0,0,0,0,0,17
06.01.2020,00:00,0,0,0,0,0,2
06.01.2020,01:00,0,0,0,0,0,0
06.01.2020,02:00,0,0,0,0,0,0
06.01.2020,03:00,0,0,0,0,0,0
06.01.2020,04:00,0,0,0,0,0,0
06.01.2020,05:00,0,0,0,1,0,0
06.01.2020,06:00,0,0,0,117,0,0
06.01.2020,07:00,0,2,1,5,1,2
06.01.2020,08:00,0,165,164,0,164,164
06.01.2020,09:00,0,145,144,0,145,145
06.01.2020,10:00,0,104,105,0,105,105
06.01.2020,11:00,0,0,0,0,1,5
06.01.2020,12:00,0,0,0,0,0,0
06.01.2020,13:00,0,0,0,0,0,0
06.01.2020,14:00,0,0,0,0,0,0
06.01.2020,15:00,0,0,0,104,0,0
06.01.2020,16:00,0,0,3,159,0,0
06.01.2020,17:00,0,146,147,146,144,143
06.01.2020,18:00,0,137,137,137,138,136
06.01.2020,19:00,0,107,102,146,110,31
06.01.2020,20:00,0,0,0,0,0,0
06.01.2020,21:00,0,0,0,0,0,0
06.01.2020,22:00,0,0,0,0,0,0
06.01.2020,23:00,0,0,0,0,0,0
07.01.2020,00:00,0,0,0,0,0,0
07.01.2020,01:00,0,0,0,0,0,0
07.01.2020,02:00,0,0,0,0,0,0
07.01.2020,03:00,0,0,0,0,0,0
07.01.2020,04:00,0,0,0,0,0,0
07.01.2020,05:00,0,0,0,0,0,0
07.01.2020,06:00,0,0,0,0,0,0
07.01.2020,07:00,0,119,118,124,118,123
07.01.2020,08:00,0,138,139,139,139,138
07.01.2020,09:00,0,154,154,154,155,153
07.01.2020,10:00,0,124,124,124,125,124
07.01.2020,11:00,0,154,154,154,156,2
07.01.2020,12:00,0,150,3,150,152,0
07.01.2020,13:00,0,6,0,24,7,0
07.01.2020,14:00,0,0,0,5,0,0
07.01.2020,15:00,0,0,0,0,0,0
07.01.2020,16:00,0,0,0,0,0,0
07.01.2020,17:00,0,0,0,0,0,0
07.01.2020,18:00,0,0,0,0,0,0
07.01.2020,19:00,0,0,0,0,0,0
