Datum,Uhrzeit,Generation_DE G[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE A[MW],Generation_DE B[MW],Generation_DE D[MW],Generation_DE E[MW]
05.01.2020,06:00,1065,0,1052,0,156,0,0
05.01.2020,07:00,1065,0,1057,0,182,0,0
05.01.2020,08:00,1061,0,1054,0,263,0,0
05.01.2020,09:00,1061,0,1056,0,266,0,0
05.01.2020,10:00,1061,0,1057,0,265,0,0
05.01.2020,11:00,1064,0,1055,0,248,0,0
05.01.2020,12:00,1062,0,1058,0,175,0,0
05.01.2020,13:00,1063,0,1067,0,195,0,0
05.01.2020,14:00,1063,0,1062,0,265,0,0
05.01.2020,15:00,1060,0,1066,0,266,0,0
05.01.2020,16:00,1062,0,1066,0,265,0,0
05.01.2020,17:00,1062,0,1067,0,268,0,0
05.01.2020,18:00,1058,0,1058,0,267,0,0
05.01.2020,19:00,1064,0,986,0,269,0,0
05.01.2020,20:00,1065,0,968,0,268,0,0
05.01.2020,21:00,1064,0,971,0,269,0,0
05.01.2020,22:00,1060,0,962,0,272,0,0
05.01.2020,23:00,1027,0,969,0,266,0,0
06.01.2020,00:00,1012,0,964,0,188,0,0
06.01.2020,01:00,967,0,968,0,159,0,0
06.01.2020,02:00,968,0,968,0,157,0,0
06.01.2020,03:00,970,0,969,0,156,0,0
06.01.2020,04:00,1051,0,968,0,156,0,0
06.01.2020,05:00,1061,0,969,0,236,0,0
06.01.2020,06:00,1061,0,970,0,252,0,0
06.01.2020,07:00,1057,0,1055,0,265,0,0
06.01.2020,08:00,1060,0,1065,0,267,0,0
06.01.2020,09:00,1062,0,1069,0,265,0,0
06.01.2020,10:00,1064,0,1077,0,265,0,0
06.01.2020,11:00,1065,0,1073,0,266,0,0
06.01.2020,12:00,1066,0,1075,0,266,0,0
06.01.2020,13:00,1064,0,1073,0,267,0,0
06.01.2020,14:00,1064,0,1073,0,266,0,0
06.01.2020,15:00,1061,0,1070,0,265,0,0
