Datum,Uhrzeit,Generation_DE Block E GTE1[MW],Generation_DE Block E GTE2[MW],Generation_DE GuD F[MW],Generation_DE AGas0und0Dampfturbinen[MW],Generation_DE Block E[MW]
06.01.2020,08:00,0,0,491,0,0
06.01.2020,09:00,0,0,560,0,0
06.01.2020,10:00,0,0,555,0,0
06.01.2020,11:00,0,0,573,0,0
06.01.2020,12:00,0,0,581,0,0
06.01.2020,13:00,0,0,591,0,0
06.01.2020,14:00,0,0,590,0,0
06.01.2020,15:00,0,0,591,0,0
06.01.2020,16:00,0,0,592,0,0
06.01.2020,17:00,0,0,592,0,0
06.01.2020,18:00,0,0,594,0,0
06.01.2020,19:00,0,0,595,0,0
06.01.2020,20:00,0,0,539,0,0
06.01.2020,21:00,0,0,542,0,0
06.01.2020,22:00,0,0,549,0,0
06.01.2020,23:00,0,0,533,0,0
07.01.2020,00:00,0,0,544,0,0
07.01.2020,01:00,0,0,524,0,0
07.01.2020,02:00,0,0,496,0,0
07.01.2020,03:00,0,0,454,0,0
07.01.2020,04:00,0,0,448,0,0
07.01.2020,05:00,0,0,548,0,0
07.01.2020,06:00,0,0,559,0,0
07.01.2020,07:00,0,0,582,0,0
07.01.2020,08:00,0,0,583,0,0
07.01.2020,09:00,0,0,583,0,0
07.01.2020,10:00,0,0,582,0,0
07.01.2020,11:00,0,0,608,0,0
07.01.2020,12:00,0,0,608,0,0
07.01.2020,13:00,0,0,573,0,0
07.01.2020,14:00,0,0,573,0,0
07.01.2020,15:00,0,0,538,0,0
07.01.2020,16:00,0,0,538,0,0
07.01.2020,17:00,0,0,574,0,0
07.01.2020,18:00,0,0,575,0,0
07.01.2020,19:00,0,0,542,0,0
07.01.2020,20:00,0,0,534,0,0
07.01.2020,21:00,0,0,534,0,0
07.01.2020,22:00,0,0,533,0,0
07.01.2020,23:00,0,0,335,0,0
08.01.2020,00:00,0,0,9,0,0
08.01.2020,01:00,0,0,0,0,0
08.01.2020,02:00,0,0,0,0,0
08.01.2020,03:00,0,0,0,0,0
08.01.2020,04:00,0,0,0,0,0
08.01.2020,05:00,0,0,18,0,0
08.01.2020,06:00,0,0,234,0,0
08.01.2020,07:00,0,0,522,0,0
08.01.2020,08:00,0,0,527,0,0
08.01.2020,09:00,0,0,529,0,0
08.01.2020,10:00,0,0,561,0,0
08.01.2020,11:00,0,0,561,0,0
08.01.2020,12:00,0,0,562,0,0
08.01.2020,13:00,0,0,561,0,0
08.01.2020,14:00,0,0,558,0,0
08.01.2020,15:00,0,0,563,0,0
08.01.2020,16:00,0,0,563,0,0
08.01.2020,17:00,0,0,564,0,0
08.01.2020,18:00,0,0,564,0,0
08.01.2020,19:00,0,0,563,0,0
08.01.2020,20:00,0,0,563,0,0
08.01.2020,21:00,0,0,563,0,0
08.01.2020,22:00,0,0,562,0,0
08.01.2020,23:00,0,0,564,0,0
09.01.2020,00:00,0,0,568,0,0
09.01.2020,01:00,0,0,568,0,0
09.01.2020,02:00,0,0,526,0,0
09.01.2020,03:00,0,0,526,0,0
09.01.2020,04:00,0,0,532,0,0
09.01.2020,05:00,0,0,565,0,0
09.01.2020,06:00,0,0,568,0,0
09.01.2020,07:00,0,0,568,0,0
09.01.2020,08:00,0,0,575,0,0
09.01.2020,09:00,0,0,574,0,0
09.01.2020,10:00,0,0,569,0,0
09.01.2020,11:00,0,0,568,0,0
09.01.2020,12:00,0,0,569,0,0
09.01.2020,13:00,0,0,505,0,0
09.01.2020,14:00,0,0,530,0,0
09.01.2020,15:00,0,0,558,0,0
09.01.2020,16:00,0,0,564,0,0
09.01.2020,17:00,0,0,566,0,0
09.01.2020,18:00,0,0,560,0,0
09.01.2020,19:00,0,0,562,0,0
09.01.2020,20:00,0,0,556,0,0
09.01.2020,21:00,0,0,516,0,0
09.01.2020,22:00,0,0,511,0,0
09.01.2020,23:00,0,0,240,0,0
10.01.2020,00:00,0,0,0,0,0
10.01.2020,01:00,0,0,0,0,0
10.01.2020,02:00,0,0,0,0,0
10.01.2020,03:00,0,0,0,0,0
10.01.2020,04:00,0,0,0,0,0
10.01.2020,05:00,0,0,17,0,0
10.01.2020,06:00,0,0,318,0,0
10.01.2020,07:00,0,0,571,0,0
10.01.2020,08:00,0,0,575,0,0
10.01.2020,09:00,0,0,581,0,0
10.01.2020,10:00,0,0,582,0,0
10.01.2020,11:00,0,0,581,0,0
10.01.2020,12:00,0,0,538,0,0
10.01.2020,13:00,0,0,537,0,0
10.01.2020,14:00,0,0,539,0,0
10.01.2020,15:00,0,0,540,0,0
10.01.2020,16:00,0,0,540,0,0
10.01.2020,17:00,0,0,570,0,0
10.01.2020,18:00,0,0,576,0,0
10.01.2020,19:00,0,0,580,0,0
10.01.2020,20:00,0,0,545,0,0
10.01.2020,21:00,0,0,543,0,0
10.01.2020,22:00,0,0,538,0,0
10.01.2020,23:00,0,0,502,0,0
11.01.2020,00:00,0,0,585,0,0
11.01.2020,01:00,0,0,589,0,0
11.01.2020,02:00,0,0,589,0,0
11.01.2020,03:00,0,0,588,0,0
11.01.2020,04:00,0,0,477,0,0
11.01.2020,05:00,0,0,483,0,0
11.01.2020,06:00,0,0,511,0,0
11.01.2020,07:00,0,0,537,0,0
11.01.2020,08:00,0,0,574,0,0
11.01.2020,09:00,0,0,574,0,0
11.01.2020,10:00,0,0,574,0,0
11.01.2020,11:00,0,0,572,0,0
11.01.2020,12:00,0,0,569,0,0
11.01.2020,13:00,0,0,552,0,0
11.01.2020,14:00,0,0,582,0,0
11.01.2020,15:00,0,0,584,0,0
11.01.2020,16:00,0,0,585,0,0
11.01.2020,17:00,0,0,581,0,0
11.01.2020,18:00,0,0,584,0,0
11.01.2020,19:00,0,0,586,0,0
11.01.2020,20:00,0,0,518,0,0
11.01.2020,21:00,0,0,510,0,0
11.01.2020,22:00,0,0,436,0,0
11.01.2020,23:00,0,0,430,0,0
12.01.2020,00:00,0,0,230,0,0
12.01.2020,01:00,0,0,0,0,0
12.01.2020,02:00,0,0,0,0,0
12.01.2020,03:00,0,0,0,0,0
12.01.2020,04:00,0,0,0,0,0
12.01.2020,05:00,0,0,0,0,0
12.01.2020,06:00,0,0,18,0,0
12.01.2020,07:00,0,0,260,0,0
12.01.2020,08:00,0,0,346,0,0
12.01.2020,09:00,0,0,348,0,0
12.01.2020,10:00,0,0,348,0,0
12.01.2020,11:00,0,0,366,0,0
12.01.2020,12:00,0,0,348,0,0
12.01.2020,13:00,0,0,349,0,0
12.01.2020,14:00,0,0,365,0,0
12.01.2020,15:00,0,0,349,0,0
12.01.2020,16:00,0,0,498,0,0
12.01.2020,17:00,0,0,543,0,0
12.01.2020,18:00,0,0,573,0,0
12.01.2020,19:00,0,0,573,0,0
12.01.2020,20:00,0,0,533,0,0
12.01.2020,21:00,0,0,508,0,0
12.01.2020,22:00,0,0,520,0,0
12.01.2020,23:00,0,0,570,0,0
13.01.2020,00:00,0,0,512,0,0
13.01.2020,01:00,0,0,514,0,0
13.01.2020,02:00,0,0,488,0,0
13.01.2020,03:00,0,0,489,0,0
13.01.2020,04:00,0,0,513,0,0
13.01.2020,05:00,0,0,542,0,0
13.01.2020,06:00,0,0,536,0,0
13.01.2020,07:00,0,0,584,0,0
13.01.2020,08:00,0,0,587,0,0
13.01.2020,09:00,0,0,587,0,0
13.01.2020,10:00,0,0,587,0,0
13.01.2020,11:00,0,0,580,0,0
13.01.2020,12:00,0,0,580,0,0
13.01.2020,13:00,0,0,578,0,0
13.01.2020,14:00,0,0,580,0,0
13.01.2020,15:00,0,0,580,0,0
13.01.2020,16:00,0,0,582,0,0
13.01.2020,17:00,0,0,581,0,0
13.01.2020,18:00,0,0,580,0,0
13.01.2020,19:00,0,0,571,0,0
13.01.2020,20:00,0,0,544,0,0
13.01.2020,21:00,0,0,532,0,0
13.01.2020,22:00,0,0,524,0,0
13.01.2020,23:00,0,0,478,0,0
14.01.2020,00:00,0,0,142,0,0
14.01.2020,01:00,0,0,0,0,0
14.01.2020,02:00,0,0,0,0,0
14.01.2020,03:00,0,0,0,0,0
14.01.2020,04:00,0,0,0,0,0
14.01.2020,05:00,0,0,0,0,0
14.01.2020,06:00,0,0,16,0,0
14.01.2020,07:00,0,0,300,0,0
14.01.2020,08:00,0,0,490,0,0
14.01.2020,09:00,0,0,495,0,0
14.01.2020,10:00,0,0,495,0,0
14.01.2020,11:00,0,0,498,0,0
14.01.2020,12:00,0,0,528,0,0
14.01.2020,13:00,0,0,529,0,0
14.01.2020,14:00,0,0,530,0,0
14.01.2020,15:00,0,0,559,0,0
