Datum,Uhrzeit,Generation_DE KBR[MW]
10.01.2020,10:00,1118
10.01.2020,11:00,1017
10.01.2020,12:00,956
10.01.2020,13:00,964
10.01.2020,14:00,962
10.01.2020,15:00,956
10.01.2020,16:00,956
10.01.2020,17:00,956
10.01.2020,18:00,979
10.01.2020,19:00,1051
10.01.2020,20:00,1046
10.01.2020,21:00,1121
10.01.2020,22:00,1275
10.01.2020,23:00,1326
11.01.2020,00:00,1324
11.01.2020,01:00,1325
11.01.2020,02:00,1325
11.01.2020,03:00,1324
11.01.2020,04:00,1281
11.01.2020,05:00,1278
11.01.2020,06:00,1280
11.01.2020,07:00,1279
11.01.2020,08:00,1279
11.01.2020,09:00,1279
11.01.2020,10:00,1248
11.01.2020,11:00,1144
11.01.2020,12:00,1017
11.01.2020,13:00,947
11.01.2020,14:00,949
11.01.2020,15:00,948
11.01.2020,16:00,949
11.01.2020,17:00,947
11.01.2020,18:00,947
11.01.2020,19:00,944
11.01.2020,20:00,945
11.01.2020,21:00,945
11.01.2020,22:00,945
11.01.2020,23:00,979
12.01.2020,00:00,1099
12.01.2020,01:00,1164
12.01.2020,02:00,1163
12.01.2020,03:00,1163
12.01.2020,04:00,1216
12.01.2020,05:00,1231
12.01.2020,06:00,1224
12.01.2020,07:00,1132
12.01.2020,08:00,1078
12.01.2020,09:00,980
12.01.2020,10:00,961
12.01.2020,11:00,967
12.01.2020,12:00,961
12.01.2020,13:00,968
12.01.2020,14:00,975
12.01.2020,15:00,969
12.01.2020,16:00,962
12.01.2020,17:00,963
12.01.2020,18:00,964
12.01.2020,19:00,961
12.01.2020,20:00,947
12.01.2020,21:00,878
12.01.2020,22:00,933
12.01.2020,23:00,959
13.01.2020,00:00,1019
13.01.2020,01:00,1020
13.01.2020,02:00,1148
13.01.2020,03:00,1309
13.01.2020,04:00,1328
13.01.2020,05:00,1329
13.01.2020,06:00,1329
13.01.2020,07:00,1328
13.01.2020,08:00,1328
13.01.2020,09:00,1328
13.01.2020,10:00,1327
13.01.2020,11:00,1330
13.01.2020,12:00,1329
13.01.2020,13:00,1328
13.01.2020,14:00,1328
13.01.2020,15:00,1329
13.01.2020,16:00,1329
13.01.2020,17:00,1328
13.01.2020,18:00,1328
13.01.2020,19:00,1328
13.01.2020,20:00,1328
13.01.2020,21:00,1327
13.01.2020,22:00,1327
13.01.2020,23:00,1327
14.01.2020,00:00,1327
14.01.2020,01:00,1328
14.01.2020,02:00,1328
14.01.2020,03:00,1328
14.01.2020,04:00,1328
14.01.2020,05:00,1328
14.01.2020,06:00,1328
14.01.2020,07:00,1328
14.01.2020,08:00,1327
14.01.2020,09:00,1327
14.01.2020,10:00,1327
14.01.2020,11:00,1327
14.01.2020,12:00,1327
14.01.2020,13:00,1328
14.01.2020,14:00,1328
14.01.2020,15:00,1329
14.01.2020,16:00,1254
14.01.2020,17:00,1143
14.01.2020,18:00,1141
14.01.2020,19:00,1044
14.01.2020,20:00,1043
14.01.2020,21:00,1042
14.01.2020,22:00,1042
14.01.2020,23:00,1155
15.01.2020,00:00,1292
15.01.2020,01:00,1288
15.01.2020,02:00,1231
15.01.2020,03:00,1219
15.01.2020,04:00,1296
15.01.2020,05:00,1292
15.01.2020,06:00,1302
15.01.2020,07:00,1326
15.01.2020,08:00,1327
15.01.2020,09:00,1326
15.01.2020,10:00,1324
15.01.2020,11:00,1205
15.01.2020,12:00,1141
15.01.2020,13:00,1043
15.01.2020,14:00,1008
15.01.2020,15:00,987
15.01.2020,16:00,986
15.01.2020,17:00,984
15.01.2020,18:00,985
15.01.2020,19:00,984
15.01.2020,20:00,983
15.01.2020,21:00,983
15.01.2020,22:00,1019
15.01.2020,23:00,1209
16.01.2020,00:00,1292
16.01.2020,01:00,1294
16.01.2020,02:00,1309
16.01.2020,03:00,1326
16.01.2020,04:00,1326
16.01.2020,05:00,1325
16.01.2020,06:00,1315
16.01.2020,07:00,1326
16.01.2020,08:00,1277
16.01.2020,09:00,1168
16.01.2020,10:00,1049
16.01.2020,11:00,959
16.01.2020,12:00,1033
16.01.2020,13:00,1248
16.01.2020,14:00,1326
16.01.2020,15:00,1307
16.01.2020,16:00,1154
16.01.2020,17:00,1061
16.01.2020,18:00,1025
16.01.2020,19:00,1016
16.01.2020,20:00,1015
16.01.2020,21:00,1015
16.01.2020,22:00,1043
16.01.2020,23:00,1059
17.01.2020,00:00,1012
17.01.2020,01:00,999
17.01.2020,02:00,959
17.01.2020,03:00,1013
17.01.2020,04:00,1014
17.01.2020,05:00,957
17.01.2020,06:00,969
17.01.2020,07:00,955
