Datum,Uhrzeit,Generation_DE SE 4[MW],Generation_DE Block 6 SE 6[MW],Generation_DE Block 5 SE 5[MW],Generation_DE Block 1 SE 1[MW],Generation_DE Block 2 SE 2[MW]
03.01.2020,19:00,0,0,0,84,82
03.01.2020,20:00,0,0,0,84,82
03.01.2020,21:00,0,0,0,84,82
03.01.2020,22:00,0,0,0,84,82
03.01.2020,23:00,0,0,0,84,82
04.01.2020,00:00,0,0,0,84,82
04.01.2020,01:00,0,0,0,84,82
04.01.2020,02:00,0,0,0,84,82
04.01.2020,03:00,0,0,0,84,82
04.01.2020,04:00,0,0,0,84,82
04.01.2020,05:00,0,0,0,84,82
04.01.2020,06:00,0,0,0,84,82
04.01.2020,07:00,0,0,0,84,82
04.01.2020,08:00,0,0,0,84,82
04.01.2020,09:00,0,0,0,84,82
04.01.2020,10:00,0,0,0,84,82
04.01.2020,11:00,0,0,0,83,82
04.01.2020,12:00,0,0,0,82,82
04.01.2020,13:00,0,0,0,82,82
04.01.2020,14:00,0,0,0,82,82
04.01.2020,15:00,0,0,0,82,82
04.01.2020,16:00,0,0,0,82,82
04.01.2020,17:00,0,0,0,82,82
04.01.2020,18:00,0,0,0,82,82
04.01.2020,19:00,0,0,0,82,82
04.01.2020,20:00,0,0,0,82,80
04.01.2020,21:00,0,0,0,82,80
04.01.2020,22:00,0,0,0,82,80
04.01.2020,23:00,0,0,0,82,80
05.01.2020,00:00,0,0,0,82,80
05.01.2020,01:00,0,0,0,82,80
05.01.2020,02:00,0,0,0,82,80
05.01.2020,03:00,0,0,0,82,80
05.01.2020,04:00,0,0,0,82,80
05.01.2020,05:00,0,0,0,82,80
05.01.2020,06:00,0,0,0,82,80
05.01.2020,07:00,0,0,0,82,80
05.01.2020,08:00,0,0,0,82,80
05.01.2020,09:00,0,0,0,82,80
05.01.2020,10:00,0,0,0,82,80
05.01.2020,11:00,0,0,0,82,80
05.01.2020,12:00,0,0,0,82,80
05.01.2020,13:00,0,0,0,81,80
05.01.2020,14:00,0,0,0,81,79
05.01.2020,15:00,0,0,0,81,79
05.01.2020,16:00,0,0,0,81,79
05.01.2020,17:00,0,0,0,81,79
05.01.2020,18:00,0,0,0,81,79
05.01.2020,19:00,0,0,0,81,79
05.01.2020,20:00,0,0,0,81,79
05.01.2020,21:00,0,0,0,81,79
05.01.2020,22:00,0,0,0,81,79
05.01.2020,23:00,0,0,0,81,79
06.01.2020,00:00,0,0,0,81,79
06.01.2020,01:00,0,0,0,81,79
06.01.2020,02:00,0,0,0,81,79
06.01.2020,03:00,0,0,0,81,79
06.01.2020,04:00,0,0,0,81,79
06.01.2020,05:00,0,0,0,81,79
06.01.2020,06:00,0,0,0,81,79
06.01.2020,07:00,0,0,0,81,79
06.01.2020,08:00,0,0,0,81,79
06.01.2020,09:00,0,0,0,81,79
06.01.2020,10:00,0,0,0,81,79
06.01.2020,11:00,0,0,0,91,79
06.01.2020,12:00,0,0,0,97,79
06.01.2020,13:00,0,0,0,96,72
06.01.2020,14:00,0,0,0,93,55
06.01.2020,15:00,0,0,0,93,35
06.01.2020,16:00,0,0,0,95,3
06.01.2020,17:00,0,0,0,95,0
06.01.2020,18:00,0,0,0,95,0
06.01.2020,19:00,0,0,0,95,0
06.01.2020,20:00,0,0,0,95,0
06.01.2020,21:00,0,0,0,95,0
06.01.2020,22:00,0,0,0,96,0
06.01.2020,23:00,0,0,0,96,0
07.01.2020,00:00,0,0,0,95,0
07.01.2020,01:00,0,0,0,95,0
07.01.2020,02:00,0,0,0,95,0
07.01.2020,03:00,0,0,0,95,0
07.01.2020,04:00,0,0,0,95,0
07.01.2020,05:00,0,0,0,94,0
07.01.2020,06:00,0,0,0,93,0
07.01.2020,07:00,0,0,0,93,0
07.01.2020,08:00,0,0,0,93,0
07.01.2020,09:00,0,0,0,93,0
07.01.2020,10:00,0,0,0,94,0
07.01.2020,11:00,0,0,0,94,0
07.01.2020,12:00,0,0,0,94,0
07.01.2020,13:00,0,0,0,94,0
07.01.2020,14:00,0,0,0,93,0
07.01.2020,15:00,0,0,0,93,0
07.01.2020,16:00,0,0,0,93,0
07.01.2020,17:00,0,0,0,93,0
07.01.2020,18:00,0,0,0,93,0
07.01.2020,19:00,0,0,0,93,0
07.01.2020,20:00,0,0,0,94,0
07.01.2020,21:00,0,0,0,94,0
07.01.2020,22:00,0,0,0,94,0
07.01.2020,23:00,0,0,0,95,0
08.01.2020,00:00,0,0,0,96,12
08.01.2020,01:00,0,0,0,95,17
08.01.2020,02:00,0,0,0,95,17
08.01.2020,03:00,0,0,0,95,17
08.01.2020,04:00,0,0,0,94,17
08.01.2020,05:00,0,0,0,94,17
08.01.2020,06:00,0,0,0,94,17
08.01.2020,07:00,0,0,0,94,20
08.01.2020,08:00,0,0,0,94,20
08.01.2020,09:00,0,0,0,94,17
08.01.2020,10:00,0,0,0,95,16
08.01.2020,11:00,0,0,0,93,19
08.01.2020,12:00,0,0,0,93,21
08.01.2020,13:00,0,0,0,94,21
08.01.2020,14:00,0,0,0,94,20
08.01.2020,15:00,0,0,0,94,19
08.01.2020,16:00,0,0,0,95,8
08.01.2020,17:00,0,0,0,94,0
08.01.2020,18:00,0,0,0,96,3
08.01.2020,19:00,0,0,0,96,36
08.01.2020,20:00,0,0,0,96,59
08.01.2020,21:00,0,0,0,96,73
08.01.2020,22:00,0,0,0,96,79
08.01.2020,23:00,0,0,0,96,85
09.01.2020,00:00,0,0,0,94,90
09.01.2020,01:00,0,0,0,90,88
09.01.2020,02:00,0,0,0,85,85
