Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
08.01.2020,14:00,150,0
08.01.2020,15:00,153,0
08.01.2020,16:00,149,0
08.01.2020,17:00,148,0
08.01.2020,18:00,147,0
08.01.2020,19:00,147,0
08.01.2020,20:00,154,0
08.01.2020,21:00,155,0
08.01.2020,22:00,153,0
08.01.2020,23:00,130,0
09.01.2020,00:00,120,0
09.01.2020,01:00,123,0
09.01.2020,02:00,130,0
09.01.2020,03:00,129,0
09.01.2020,04:00,140,0
09.01.2020,05:00,150,0
09.01.2020,06:00,149,0
09.01.2020,07:00,148,0
09.01.2020,08:00,148,0
09.01.2020,09:00,150,0
09.01.2020,10:00,37,0
09.01.2020,11:00,78,0
09.01.2020,12:00,148,0
09.01.2020,13:00,147,0
09.01.2020,14:00,142,0
09.01.2020,15:00,140,0
09.01.2020,16:00,141,0
09.01.2020,17:00,142,0
09.01.2020,18:00,142,0
09.01.2020,19:00,142,0
09.01.2020,20:00,142,0
09.01.2020,21:00,134,0
09.01.2020,22:00,134,0
09.01.2020,23:00,126,0
10.01.2020,00:00,108,0
10.01.2020,01:00,103,0
10.01.2020,02:00,103,0
10.01.2020,03:00,106,0
10.01.2020,04:00,114,0
10.01.2020,05:00,138,0
10.01.2020,06:00,133,0
10.01.2020,07:00,140,0
10.01.2020,08:00,143,0
10.01.2020,09:00,142,0
10.01.2020,10:00,146,0
10.01.2020,11:00,143,0
10.01.2020,12:00,140,0
10.01.2020,13:00,134,0
10.01.2020,14:00,132,0
10.01.2020,15:00,141,0
10.01.2020,16:00,146,0
10.01.2020,17:00,146,0
10.01.2020,18:00,148,0
10.01.2020,19:00,144,0
10.01.2020,20:00,143,0
10.01.2020,21:00,146,0
10.01.2020,22:00,149,0
10.01.2020,23:00,149,0
11.01.2020,00:00,142,0
11.01.2020,01:00,144,0
11.01.2020,02:00,145,0
11.01.2020,03:00,141,0
11.01.2020,04:00,141,0
11.01.2020,05:00,138,0
11.01.2020,06:00,120,0
11.01.2020,07:00,126,0
11.01.2020,08:00,128,0
11.01.2020,09:00,124,0
11.01.2020,10:00,124,0
11.01.2020,11:00,124,0
11.01.2020,12:00,124,0
11.01.2020,13:00,124,0
11.01.2020,14:00,123,0
11.01.2020,15:00,125,0
11.01.2020,16:00,125,0
11.01.2020,17:00,123,0
11.01.2020,18:00,132,0
11.01.2020,19:00,156,0
11.01.2020,20:00,0,0
11.01.2020,21:00,0,0
11.01.2020,22:00,37,0
11.01.2020,23:00,145,0
12.01.2020,00:00,143,0
12.01.2020,01:00,139,0
12.01.2020,02:00,136,0
12.01.2020,03:00,135,0
12.01.2020,04:00,133,0
12.01.2020,05:00,138,0
12.01.2020,06:00,139,0
12.01.2020,07:00,144,0
12.01.2020,08:00,144,0
12.01.2020,09:00,148,0
12.01.2020,10:00,142,0
12.01.2020,11:00,142,0
12.01.2020,12:00,142,0
12.01.2020,13:00,142,0
12.01.2020,14:00,147,0
12.01.2020,15:00,148,0
12.01.2020,16:00,148,0
12.01.2020,17:00,149,0
12.01.2020,18:00,148,0
12.01.2020,19:00,151,0
12.01.2020,20:00,148,0
12.01.2020,21:00,148,0
12.01.2020,22:00,145,0
12.01.2020,23:00,143,0
13.01.2020,00:00,130,0
13.01.2020,01:00,129,0
13.01.2020,02:00,130,0
13.01.2020,03:00,132,0
13.01.2020,04:00,140,0
13.01.2020,05:00,146,0
13.01.2020,06:00,149,0
13.01.2020,07:00,152,0
13.01.2020,08:00,155,0
13.01.2020,09:00,151,0
13.01.2020,10:00,149,0
13.01.2020,11:00,152,0
13.01.2020,12:00,158,0
13.01.2020,13:00,151,0
13.01.2020,14:00,152,0
13.01.2020,15:00,147,0
13.01.2020,16:00,144,0
13.01.2020,17:00,146,0
13.01.2020,18:00,145,0
13.01.2020,19:00,146,0
13.01.2020,20:00,146,0
13.01.2020,21:00,146,0
13.01.2020,22:00,148,0
13.01.2020,23:00,144,0
14.01.2020,00:00,144,0
14.01.2020,01:00,145,0
14.01.2020,02:00,143,0
14.01.2020,03:00,140,0
14.01.2020,04:00,141,0
14.01.2020,05:00,142,0
14.01.2020,06:00,141,0
14.01.2020,07:00,143,0
14.01.2020,08:00,110,0
14.01.2020,09:00,149,0
14.01.2020,10:00,150,0
14.01.2020,11:00,149,0
14.01.2020,12:00,148,0
14.01.2020,13:00,147,0
14.01.2020,14:00,146,0
14.01.2020,15:00,150,0
14.01.2020,16:00,147,0
14.01.2020,17:00,148,0
14.01.2020,18:00,149,0
14.01.2020,19:00,148,0
14.01.2020,20:00,144,0
14.01.2020,21:00,122,0
14.01.2020,22:00,128,0
14.01.2020,23:00,121,0
15.01.2020,00:00,102,0
15.01.2020,01:00,103,0
15.01.2020,02:00,104,0
15.01.2020,03:00,106,0
15.01.2020,04:00,106,0
15.01.2020,05:00,126,0
15.01.2020,06:00,130,0
15.01.2020,07:00,137,0
15.01.2020,08:00,134,0
15.01.2020,09:00,142,0
15.01.2020,10:00,135,0
15.01.2020,11:00,132,0
15.01.2020,12:00,133,0
15.01.2020,13:00,132,0
15.01.2020,14:00,128,0
15.01.2020,15:00,130,0
15.01.2020,16:00,131,0
15.01.2020,17:00,121,0
15.01.2020,18:00,120,0
15.01.2020,19:00,123,0
15.01.2020,20:00,138,0
15.01.2020,21:00,145,0
15.01.2020,22:00,141,0
15.01.2020,23:00,127,0
16.01.2020,00:00,122,0
16.01.2020,01:00,118,0
16.01.2020,02:00,112,0
16.01.2020,03:00,112,0
16.01.2020,04:00,122,0
16.01.2020,05:00,143,0
16.01.2020,06:00,153,0
16.01.2020,07:00,152,0
16.01.2020,08:00,156,0
16.01.2020,09:00,158,0
16.01.2020,10:00,163,0
16.01.2020,11:00,158,0
16.01.2020,12:00,145,0
16.01.2020,13:00,143,0
16.01.2020,14:00,141,0
16.01.2020,15:00,139,0
16.01.2020,16:00,144,0
16.01.2020,17:00,144,0
16.01.2020,18:00,143,0
16.01.2020,19:00,143,0
16.01.2020,20:00,143,0
16.01.2020,21:00,143,0
16.01.2020,22:00,145,0
16.01.2020,23:00,143,0
17.01.2020,00:00,143,0
17.01.2020,01:00,140,0
17.01.2020,02:00,128,0
17.01.2020,03:00,127,0
17.01.2020,04:00,133,0
17.01.2020,05:00,140,0
17.01.2020,06:00,145,0
17.01.2020,07:00,142,0
17.01.2020,08:00,145,0
17.01.2020,09:00,148,0
17.01.2020,10:00,150,0
17.01.2020,11:00,152,0
17.01.2020,12:00,151,0
17.01.2020,13:00,153,0
17.01.2020,14:00,153,0
17.01.2020,15:00,144,0
17.01.2020,16:00,148,0
17.01.2020,17:00,140,0
17.01.2020,18:00,145,0
17.01.2020,19:00,143,0
17.01.2020,20:00,142,0
17.01.2020,21:00,141,0
17.01.2020,22:00,147,0
17.01.2020,23:00,137,0
18.01.2020,00:00,122,0
18.01.2020,01:00,115,0
18.01.2020,02:00,116,0
18.01.2020,03:00,120,0
18.01.2020,04:00,129,0
18.01.2020,05:00,139,0
18.01.2020,06:00,145,0
18.01.2020,07:00,146,0
18.01.2020,08:00,147,0
18.01.2020,09:00,147,0
18.01.2020,10:00,147,0
