Datum,Uhrzeit,Generation_DE KKE[MW]
10.01.2020,10:00,1344
10.01.2020,11:00,1344
10.01.2020,12:00,1344
10.01.2020,13:00,1345
10.01.2020,14:00,1345
10.01.2020,15:00,1346
10.01.2020,16:00,1347
10.01.2020,17:00,1348
10.01.2020,18:00,1349
10.01.2020,19:00,1350
10.01.2020,20:00,1351
10.01.2020,21:00,1351
10.01.2020,22:00,1352
10.01.2020,23:00,1350
11.01.2020,00:00,1353
11.01.2020,01:00,1353
11.01.2020,02:00,1353
11.01.2020,03:00,1352
11.01.2020,04:00,1354
11.01.2020,05:00,1354
11.01.2020,06:00,1352
11.01.2020,07:00,1351
11.01.2020,08:00,1349
11.01.2020,09:00,1350
11.01.2020,10:00,1352
11.01.2020,11:00,1353
11.01.2020,12:00,1351
11.01.2020,13:00,1349
11.01.2020,14:00,1351
11.01.2020,15:00,1349
11.01.2020,16:00,1349
11.01.2020,17:00,1349
11.01.2020,18:00,1349
11.01.2020,19:00,1348
11.01.2020,20:00,1346
11.01.2020,21:00,1348
11.01.2020,22:00,1348
11.01.2020,23:00,1347
12.01.2020,00:00,1347
12.01.2020,01:00,1348
12.01.2020,02:00,1350
12.01.2020,03:00,1351
12.01.2020,04:00,1353
12.01.2020,05:00,1353
12.01.2020,06:00,1351
12.01.2020,07:00,1351
12.01.2020,08:00,1350
12.01.2020,09:00,1349
12.01.2020,10:00,1349
12.01.2020,11:00,1349
12.01.2020,12:00,1348
12.01.2020,13:00,1347
12.01.2020,14:00,1348
12.01.2020,15:00,1349
12.01.2020,16:00,1348
12.01.2020,17:00,1343
12.01.2020,18:00,1337
12.01.2020,19:00,1340
12.01.2020,20:00,1342
12.01.2020,21:00,1345
12.01.2020,22:00,1348
12.01.2020,23:00,1348
13.01.2020,00:00,1349
13.01.2020,01:00,1348
13.01.2020,02:00,1347
13.01.2020,03:00,1346
13.01.2020,04:00,1348
13.01.2020,05:00,1348
13.01.2020,06:00,1348
13.01.2020,07:00,1346
13.01.2020,08:00,1348
13.01.2020,09:00,1348
13.01.2020,10:00,1348
13.01.2020,11:00,1349
13.01.2020,12:00,1349
13.01.2020,13:00,1349
13.01.2020,14:00,1348
13.01.2020,15:00,1348
13.01.2020,16:00,1347
13.01.2020,17:00,1348
13.01.2020,18:00,1347
13.01.2020,19:00,1345
13.01.2020,20:00,1346
13.01.2020,21:00,1345
13.01.2020,22:00,1345
13.01.2020,23:00,1343
14.01.2020,00:00,1342
14.01.2020,01:00,1340
14.01.2020,02:00,1334
14.01.2020,03:00,1195
14.01.2020,04:00,1191
14.01.2020,05:00,1271
14.01.2020,06:00,1341
14.01.2020,07:00,1341
14.01.2020,08:00,1341
14.01.2020,09:00,1341
14.01.2020,10:00,1342
14.01.2020,11:00,1342
14.01.2020,12:00,1341
14.01.2020,13:00,1341
14.01.2020,14:00,1341
14.01.2020,15:00,1340
14.01.2020,16:00,1340
14.01.2020,17:00,1342
14.01.2020,18:00,1341
14.01.2020,19:00,1339
14.01.2020,20:00,1338
14.01.2020,21:00,1338
14.01.2020,22:00,1337
14.01.2020,23:00,1337
15.01.2020,00:00,1335
15.01.2020,01:00,1336
15.01.2020,02:00,1335
15.01.2020,03:00,1337
15.01.2020,04:00,1337
15.01.2020,05:00,1335
15.01.2020,06:00,1334
15.01.2020,07:00,1332
15.01.2020,08:00,1334
15.01.2020,09:00,1336
15.01.2020,10:00,1335
15.01.2020,11:00,1335
15.01.2020,12:00,1335
15.01.2020,13:00,1337
15.01.2020,14:00,1337
15.01.2020,15:00,1336
15.01.2020,16:00,1336
15.01.2020,17:00,1336
15.01.2020,18:00,1337
15.01.2020,19:00,1344
15.01.2020,20:00,1346
15.01.2020,21:00,1346
15.01.2020,22:00,1345
15.01.2020,23:00,1345
16.01.2020,00:00,1346
16.01.2020,01:00,1347
16.01.2020,02:00,1347
16.01.2020,03:00,1347
16.01.2020,04:00,1349
16.01.2020,05:00,1350
16.01.2020,06:00,1349
16.01.2020,07:00,1351
16.01.2020,08:00,1348
16.01.2020,09:00,1351
16.01.2020,10:00,1350
16.01.2020,11:00,1348
16.01.2020,12:00,1347
16.01.2020,13:00,1347
16.01.2020,14:00,1348
16.01.2020,15:00,1346
16.01.2020,16:00,1344
16.01.2020,17:00,1342
16.01.2020,18:00,1342
16.01.2020,19:00,1342
16.01.2020,20:00,1341
16.01.2020,21:00,1341
16.01.2020,22:00,1342
16.01.2020,23:00,1342
17.01.2020,00:00,1342
17.01.2020,01:00,1342
17.01.2020,02:00,1342
17.01.2020,03:00,1342
17.01.2020,04:00,1342
17.01.2020,05:00,1345
17.01.2020,06:00,1343
17.01.2020,07:00,1343
17.01.2020,08:00,1344
17.01.2020,09:00,1344
17.01.2020,10:00,1344
17.01.2020,11:00,1344
17.01.2020,12:00,1344
17.01.2020,13:00,1343
17.01.2020,14:00,1345
17.01.2020,15:00,1345
17.01.2020,16:00,1344
17.01.2020,17:00,1344
17.01.2020,18:00,1344
17.01.2020,19:00,1342
17.01.2020,20:00,1342
17.01.2020,21:00,1343
17.01.2020,22:00,1344
17.01.2020,23:00,1348
18.01.2020,00:00,1350
18.01.2020,01:00,1349
18.01.2020,02:00,1349
18.01.2020,03:00,1350
18.01.2020,04:00,1351
18.01.2020,05:00,1353
18.01.2020,06:00,1352
18.01.2020,07:00,1350
18.01.2020,08:00,1351
18.01.2020,09:00,1351
18.01.2020,10:00,1353
18.01.2020,11:00,1352
18.01.2020,12:00,1352
18.01.2020,13:00,1353
18.01.2020,14:00,1354
18.01.2020,15:00,1353
18.01.2020,16:00,1353
18.01.2020,17:00,1349
18.01.2020,18:00,1350
18.01.2020,19:00,1353
